UOFI.CALCSERV.TOTAL UIUC ELECTRIC LOAD - Snapshot (001:00:00),,
Date and Time,Value (KW),eDNA Status as String
7/1/2014 0:00,61731,OK
7/1/2014 1:00,60009,OK
7/1/2014 2:00,58725,OK
7/1/2014 3:00,58282,OK
7/1/2014 4:00,58684,OK
7/1/2014 5:00,59053,OK
7/1/2014 6:00,58075,OK
7/1/2014 7:00,60627,OK
7/1/2014 8:00,63688,OK
7/1/2014 9:00,67368,OK
7/1/2014 10:00,66796,OK
7/1/2014 11:00,65178,OK
7/1/2014 12:00,65869,OK
7/1/2014 13:00,65203,OK
7/1/2014 14:00,68632,OK
7/1/2014 15:00,69562,OK
7/1/2014 16:00,67211,OK
7/1/2014 17:00,66297,OK
7/1/2014 18:00,65292,OK
7/1/2014 19:00,63843,OK
7/1/2014 20:00,60475,OK
7/1/2014 21:00,65528,OK
7/1/2014 22:00,64145,OK
7/1/2014 23:00,63673,OK
7/2/2014 0:00,61914,OK
7/2/2014 1:00,61770,OK
7/2/2014 2:00,59451,OK
7/2/2014 3:00,56824,OK
7/2/2014 4:00,55119,OK
7/2/2014 5:00,59283,OK
7/2/2014 6:00,59303,OK
7/2/2014 7:00,60885,OK
7/2/2014 8:00,62624,OK
7/2/2014 9:00,64146,OK
7/2/2014 10:00,64260,OK
7/2/2014 11:00,61820,OK
7/2/2014 12:00,63711,OK
7/2/2014 13:00,63351,OK
7/2/2014 14:00,63751,OK
7/2/2014 15:00,62758,OK
7/2/2014 16:00,59937,OK
7/2/2014 17:00,56639,OK
7/2/2014 18:00,55448,OK
7/2/2014 19:00,53877,OK
7/2/2014 20:00,53985,OK
7/2/2014 21:00,54593,OK
7/2/2014 22:00,56640,OK
7/2/2014 23:00,57518,OK
7/3/2014 0:00,55053,OK
7/3/2014 1:00,54546,OK
7/3/2014 2:00,55901,OK
7/3/2014 3:00,55747,OK
7/3/2014 4:00,54596,OK
7/3/2014 5:00,55822,OK
7/3/2014 6:00,54842,OK
7/3/2014 7:00,54993,OK
7/3/2014 8:00,56416,OK
7/3/2014 9:00,59735,OK
7/3/2014 10:00,60097,OK
7/3/2014 11:00,58990,OK
7/3/2014 12:00,59578,OK
7/3/2014 13:00,60075,OK
7/3/2014 14:00,58779,OK
7/3/2014 15:00,60029,OK
7/3/2014 16:00,60410,OK
7/3/2014 17:00,58177,OK
7/3/2014 18:00,57672,OK
7/3/2014 19:00,54740,OK
7/3/2014 20:00,56607,OK
7/3/2014 21:00,57352,OK
7/3/2014 22:00,55543,OK
7/3/2014 23:00,53374,OK
7/4/2014 0:00,53083,OK
7/4/2014 1:00,53261,OK
7/4/2014 2:00,51443,OK
7/4/2014 3:00,51687,OK
7/4/2014 4:00,53375,OK
7/4/2014 5:00,51360,OK
7/4/2014 6:00,49796,OK
7/4/2014 7:00,50666,OK
7/4/2014 8:00,53258,OK
7/4/2014 9:00,53696,OK
7/4/2014 10:00,53481.99609375,OK
7/4/2014 11:00,53272.99609375,OK
7/4/2014 12:00,51278,OK
7/4/2014 13:00,53097,OK
7/4/2014 14:00,53407,OK
7/4/2014 15:00,50055,OK
7/4/2014 16:00,52509,OK
7/4/2014 17:00,52228,OK
7/4/2014 18:00,51501.00390625,OK
7/4/2014 19:00,50595,OK
