,time,kw
0,0,43345.0
1,1,43064.0
2,2,43035.0
3,3,43366.0
4,4,43281.0
5,5,42326.999
6,6,43622.0
7,7,42575.999
8,8,40456.998999999996
9,9,39777.0
10,10,38856.0
11,11,38812.998999999996
12,12,38327.998999999996
13,13,38661.0
14,14,40019.0
15,15,41644.0
16,16,41300.998999999996
17,17,42138.0
18,18,41792.998999999996
19,19,42858.999
20,20,42559.999
21,21,42157.999
22,22,41938.0
23,23,40567.0
24,24,40706.0
25,25,40554.0
26,26,40439.0
27,27,39809.0
28,28,39960.998999999996
29,29,39870.0
30,30,40263.0
31,31,41276.0
32,32,42653.002
33,33,42312.0
34,34,42332.0
35,35,43012.0
36,36,42836.0
37,37,43719.0
38,38,43902.0
39,39,44410.0
40,40,44503.0
41,41,44936.001
42,42,44062.0
43,43,42686.0
44,44,41958.0
45,45,41284.0
46,46,41276.0
47,47,41642.0
48,48,41155.0
49,49,40799.0
50,50,40793.0
51,51,40621.001000000004
52,52,40880.0
53,53,40946.0
54,54,40990.0
55,55,42184.0
56,56,44929.0
57,57,46500.0
58,58,47034.0
59,59,48307.0
60,60,48757.0
61,61,48116.001
62,62,48599.0
63,63,48341.999
64,64,48713.0
65,65,47363.999
66,66,45538.0
67,67,43658.0
68,68,43336.0
69,69,42321.0
70,70,42046.0
71,71,41900.0
72,72,42364.0
73,73,42420.0
74,74,42558.999
75,75,42612.0
76,76,42442.0
77,77,42102.0
78,78,42714.999
79,79,44489.0
80,80,45688.001
81,81,46244.0
82,82,46408.0
83,83,45251.0
84,84,44931.999
85,85,45499.0
86,86,48018.0
87,87,49187.0
88,88,49284.0
89,89,48394.0
90,90,45907.0
91,91,44823.0
92,92,43910.0
93,93,44638.0
94,94,44303.0
95,95,43961.999
96,96,42181.0
97,97,42176.0
98,98,41969.0
99,99,41811.0
100,100,41501.0
101,101,41826.0
102,102,42644.0
103,103,43858.0
104,104,45672.0
105,105,48153.0
106,106,49282.0
107,107,50046.0
108,108,48962.0
109,109,49594.0
110,110,48064.0
111,111,44569.0
112,112,43887.0
113,113,43091.0
114,114,41589.0
115,115,40953.0
116,116,40393.0
117,117,40822.0
118,118,41248.0
119,119,40857.0
120,120,41100.0
121,121,41080.0
122,122,40476.0
123,123,40725.0
124,124,40782.0
125,125,41561.0
126,126,41038.0
127,127,41125.0
128,128,48489.0
129,129,47919.0
130,130,45139.0
131,131,49231.0
132,132,49695.0
133,133,49470.0
134,134,49425.0
135,135,50105.0
136,136,49705.0
137,137,48521.0
138,138,47173.0
139,139,45841.0
140,140,44687.0
141,141,44117.0
142,142,43781.0
143,143,43535.0
144,144,42806.0
145,145,43714.0
146,146,43074.0
147,147,43201.999
148,148,42044.0
149,149,42830.001
150,150,42938.0
151,151,43638.0
152,152,43996.0
153,153,43843.0
154,154,43246.0
155,155,43107.0
156,156,42494.0
157,157,42114.999
158,158,43041.0
159,159,43335.0
160,160,44102.0
161,161,44546.0
162,162,44159.001
163,163,42530.0
164,164,43825.0
165,165,43145.0
166,166,43359.0
167,167,43063.997
168,168,42621.0
169,169,42622.0
170,170,42672.0
171,171,42551.0
172,172,42260.001
173,173,42603.0
174,174,42703.0
175,175,43143.0
176,176,43167.0
177,177,42082.0
178,178,40729.0
179,179,40756.0
180,180,41901.998999999996
181,181,41211.0
182,182,42304.0
183,183,43842.0
184,184,44677.0
185,185,43665.999
186,186,43709.0
187,187,44241.0
188,188,44018.0
189,189,43237.0
190,190,42311.0
191,191,43436.0
192,192,42754.001
193,193,42893.0
194,194,41905.0
195,195,41837.0
196,196,41184.998999999996
197,197,41628.0
198,198,42162.0
199,199,43346.0
200,200,45692.0
201,201,47162.0
202,202,47652.0
203,203,47726.0
204,204,48426.0
205,205,49348.0
206,206,50956.0
207,207,50217.0
208,208,48951.0
209,209,47729.0
210,210,46051.0
211,211,44574.0
212,212,44278.0
213,213,44065.001
214,214,43430.0
215,215,43363.0
216,216,42647.999
217,217,42334.0
218,218,41720.0
219,219,41636.0
220,220,42270.0
221,221,42402.0
222,222,42842.0
223,223,44238.998
224,224,46813.999
225,225,48882.0
226,226,50432.0
227,227,50537.0
228,228,50788.0
229,229,50627.0
230,230,50492.0
231,231,51347.0
232,232,50678.0
233,233,50756.0
234,234,46934.0
235,235,45701.0
236,236,45119.0
237,237,44242.0
238,238,43882.9999
239,239,43387.0
240,240,42668.0
241,241,41873.0
242,242,41577.0
243,243,42194.0
244,244,42069.0
245,245,42265.0
246,246,42642.0
247,247,44064.0
248,248,46321.0
249,249,47784.0
250,250,49432.0
251,251,49369.0
252,252,50506.0
253,253,49824.0
254,254,50613.0
255,255,49951.0
256,256,50754.0
257,257,51122.0
258,258,49943.0
259,259,48938.0
260,260,48962.0
261,261,49086.0
262,262,47332.0
263,263,44714.0
264,264,42038.0
265,265,42219.0
266,266,41644.0
267,267,41891.0
268,268,42166.0
269,269,42536.0
270,270,43449.0
271,271,43762.0
272,272,45204.0
273,273,47438.0
274,274,48390.0
275,275,48808.0
276,276,49091.0
277,277,48108.0
278,278,48259.0
279,279,49062.0
280,280,48754.0
281,281,47759.0
282,282,45365.0
283,283,47035.0
284,284,47802.0
285,285,48094.0
286,286,46568.0
287,287,46748.0
288,288,45988.0
289,289,44898.0
290,290,45378.0
291,291,45495.9999
292,292,44473.0
293,293,43350.0
294,294,43510.0
295,295,43732.0
296,296,47330.0
297,297,48445.9999
298,298,47297.0
299,299,48920.0
300,300,49012.0
301,301,49621.0
302,302,48453.0
303,303,50324.0
304,304,49715.0
305,305,49183.0
306,306,47326.0
307,307,46143.0
308,308,44996.0
309,309,43101.0
310,310,42697.0
311,311,42529.0
312,312,41530.0
313,313,41285.0
314,314,42340.0
315,315,42461.0
316,316,41653.0
317,317,41557.0
318,318,41978.0
319,319,42784.0
320,320,43437.0
321,321,43213.0
322,322,43229.0
323,323,43913.0
324,324,43544.0
325,325,43068.0
326,326,44249.0
327,327,44321.0
328,328,44156.0
329,329,44844.0
330,330,44549.0
331,331,43815.0
332,332,43058.0
333,333,42907.0
334,334,42531.0
335,335,42037.0
336,336,41611.0
337,337,41468.0
338,338,41147.0
339,339,40517.0
340,340,40999.0
341,341,40378.0
342,342,41294.0
343,343,41720.0
344,344,42344.0
345,345,41489.0
346,346,41197.0
347,347,42283.0
348,348,41506.0
349,349,42446.0
350,350,43309.9999
351,351,44247.0
352,352,43760.0
353,353,44654.0
354,354,44627.0
355,355,45387.0
356,356,46140.0
357,357,46443.0
358,358,46650.0
359,359,45176.0001
360,360,44462.0
361,361,44073.0
362,362,44451.0
363,363,44474.0
364,364,43262.0
365,365,42341.0
366,366,42399.0
367,367,42790.0
368,368,43594.0
369,369,45026.0
370,370,45393.0
371,371,43298.0
372,372,46047.0
373,373,47143.0
374,374,47917.0
375,375,47548.0
376,376,48121.0
377,377,47909.0
378,378,47516.0
379,379,47037.0
380,380,45778.0
381,381,46791.0
382,382,46515.0
383,383,45798.0
384,384,44917.0
385,385,43858.0
386,386,43696.999
387,387,42936.0
388,388,42733.0
389,389,42948.0
390,390,43466.0
391,391,44928.0
392,392,47870.0
393,393,50184.0
394,394,50516.0
395,395,51347.0
396,396,51629.0
397,397,52141.0
398,398,52414.0
