time,measured,inverted
0,-10.1,0.0
15,-10.1,0.0
30,-10.1,0.0
45,-10.0,0.0
60,-10.0,0.0
75,-10.0,0.0
90,-10.1,0.0
105,-10.1,0.0
120,-10.1,0.0
135,-10.1,0.0
150,-10.0,0.0
165,-10.0,0.0
180,-10.1,0.0
195,-10.0,0.0
210,-10.1,0.0
225,-10.0,0.0
240,-13.8,0.0
255,-10.3,0.0
270,-11.0,0.0
285,-12.6,0.0
300,-17.9,0.0
315,-11.3,0.0
330,-14.6,0.0
345,-12.6,0.0
360,-13.1,0.0
375,-14.6,0.071
390,5.23,18.7
405,63.8,79.0
420,216.0,229.0
435,455.0,469.0
450,757.0,767.0
465,1123.0,1141.0
480,1425.0,1440.0
495,1788.0,1804.0
510,2161.0,2178.0
525,2517.0,2540.0
540,2864.0,2890.0
555,3186.0,3218.0
570,3498.0,3528.0
585,3758.0,3800.0
600,3985.0,4031.0
615,4231.0,4284.0
630,4413.0,4479.0
645,4602.0,4642.0
660,4656.0,4719.0
675,4436.0,4485.0
690,4242.0,4356.0
705,4634.0,4672.0
720,4536.0,4597.0
735,4617.0,4663.0
750,4236.0,4240.0
765,4621.0,4687.0
780,4650.0,4715.0
795,4648.0,4710.0
810,4622.0,4673.0
825,4360.0,4411.0
840,4484.0,4525.0
855,4523.0,4596.0
870,4480.0,4533.0
885,4505.0,4546.0
900,4457.0,4511.0
915,3921.0,4010.0
930,3727.0,3773.0
945,3284.0,3314.0
960,3313.0,3354.0
975,2832.0,2859.0
990,2494.0,2515.0
1005,1588.0,1606.0
1020,1577.0,1596.0
1035,1936.0,1956.0
1050,1365.0,1389.0
1065,885.0,901.0
1080,496.0,511.0
1095,433.0,449.0
1110,255.0,270.0
1125,126.0,142.0
1140,20.6,36.3
1155,-11.8,2.03
1170,-12.3,0.0
1185,-11.9,0.0
1200,-11.8,0.0
1215,-11.8,0.0
1230,-11.6,0.0
1245,-10.6,0.0
1260,-10.3,0.0
1275,-10.3,0.0
1290,-10.0,0.0
1305,-10.1,0.0
1320,-10.1,0.0
1335,-10.1,0.0
1350,-10.1,0.0
1365,-10.0,0.0
1380,-10.1,0.0
1395,-10.0,0.0
1410,-9.98,0.0
1425,-9.99,0.0
1440,-9.97,0.0
1455,-10.0,0.0
1470,-10.0,0.0
1485,-10.1,0.0
1500,-10.0,0.0
1515,-10.0,0.0
1530,-10.0,0.0
1545,-10.1,0.0
1560,-10.1,0.0
1575,-10.1,0.0
1590,-10.1,0.0
1605,-10.1,0.0
1620,-10.1,0.0
1635,-10.1,0.0
1650,-10.2,0.0
1665,-10.1,0.0
1680,-12.6,0.0
1695,-10.1,0.0
1710,-11.0,0.0
1725,-12.0,0.0
1740,-15.7,0.0
1755,-10.8,0.0
1770,-13.4,0.0
1785,-12.0,0.0
1800,-12.5,0.0
1815,-12.7,0.0
1830,-2.5,12.0
1845,49.1,63.7
1860,168.0,183.0
1875,341.0,354.0
1890,677.0,695.0
1905,739.0,753.0
1920,1063.0,1084.0
1935,1693.0,1702.0
1950,2144.0,2163.0
1965,2501.0,2522.0
1980,2844.0,2870.0
1995,3169.0,3192.0
2010,3451.0,3482.0
2025,3680.0,3719.0
2040,3953.0,4001.0
2055,4112.0,4158.0
2070,3525.0,3578.0
2085,3288.0,3307.0
2100,4065.0,4140.0
2115,4352.0,4408.0
2130,4645.0,4704.0
2145,4646.0,4703.0
2160,4651.0,4708.0
2175,4652.0,4711.0
2190,4617.0,4698.0
2205,3494.0,3527.0
2220,2421.0,2464.0
2235,2108.0,2139.0
2250,2258.0,2272.0
2265,2495.0,2531.0
2280,3301.0,3349.0
2295,1456.0,1472.0
2310,1790.0,1806.0
2325,1695.0,1713.0
2340,1497.0,1508.0
2355,2144.0,2150.0
2370,2071.0,2059.0
2385,1470.0,1492.0
2400,972.0,986.0
2415,688.0,702.0
2430,420.0,437.0
2445,733.0,752.0
2460,1119.0,1118.0
2475,887.0,895.0
2490,591.0,618.0
2505,489.0,503.0
2520,481.0,500.0
2535,538.0,553.0
2550,236.0,249.0
2565,96.0,110.0
2580,20.8,35.1
2595,-4.15,9.12
2610,-10.4,0.0
2625,-10.1,0.0
2640,-9.88,0.0
2655,-9.91,0.0
2670,-9.91,0.0
2685,-9.92,0.0
2700,-9.82,0.0
2715,-9.82,0.0
2730,-9.74,0.0
2745,-9.8,0.0
2760,-9.86,0.0
2775,-9.89,0.0
2790,-9.9,0.0
2805,-9.88,0.0
2820,-9.96,0.0
2835,-9.92,0.0
2850,-9.95,0.0
2865,-9.96,0.0
2880,-9.89,0.0
2895,-9.99,0.0
2910,-9.83,0.0
2925,-9.92,0.0
2940,-9.95,0.0
2955,-9.95,0.0
2970,-9.96,0.0
2985,-9.91,0.0
3000,-10.0,0.0
3015,-9.95,0.0
