time,measured,inverted
0,-14.0,0.0
15,-14.1,0.0
30,-14.0,0.0
45,-14.1,0.0
60,-14.1,0.0
75,-14.1,0.0
90,-14.1,0.0
105,-14.2,0.0
120,-14.1,0.0
135,-14.1,0.0
150,-14.2,0.0
165,-14.2,0.0
180,-14.2,0.0
195,-14.2,0.0
210,-14.1,0.0
225,-14.1,0.0
240,-14.1,0.0
255,-14.1,0.0
270,-14.1,0.0
285,-14.0,0.0
300,-13.9,0.0
315,-14.2,0.0
330,-14.5,0.0
345,-14.5,0.0
360,2.26,20.7
375,49.5,67.6
390,84.8,103.0
405,200.0,219.0
420,502.0,521.0
435,875.0,892.0
450,684.0,690.0
465,1341.0,1354.0
480,1908.0,1924.0
495,1746.0,1715.0
510,1727.0,1778.0
525,1769.0,1789.0
540,1794.0,1827.0
555,2845.0,2862.0
570,2287.0,2305.0
585,2096.0,2148.0
600,2016.0,2046.0
615,1999.0,2030.0
630,1356.0,1380.0
645,1395.0,1423.0
660,2179.0,2211.0
675,2669.0,2724.0
690,2290.0,2316.0
705,2108.0,2136.0
720,2200.0,2228.0
735,2823.0,2866.0
750,2401.0,2428.0
765,1992.0,2019.0
780,1869.0,1897.0
795,2490.0,2521.0
810,3083.0,3086.0
825,4656.0,4716.0
840,4533.0,4591.0
855,3376.0,3456.0
870,1052.0,1079.0
885,624.0,652.0
900,547.0,571.0
915,1345.0,1368.0
930,1838.0,1862.0
945,1648.0,1670.0
960,1259.0,1280.0
975,1371.0,1394.0
990,1218.0,1242.0
1005,1801.0,1822.0
1020,1242.0,1266.0
1035,992.0,1013.0
1050,1070.0,1099.0
1065,1607.0,1623.0
1080,1471.0,1499.0
1095,1115.0,1138.0
1110,788.0,811.0
1125,346.0,365.0
1140,174.0,193.0
1155,88.3,108.0
1170,30.8,51.0
1185,38.5,56.8
1200,-0.028999999999999998,17.7
1215,-14.9,0.09300000000000001
1230,-14.1,0.0
1245,-13.7,0.0
1260,-13.8,0.0
1275,-13.9,0.0
1290,-13.8,0.0
1305,-13.8,0.0
1320,-13.9,0.0
1335,-14.0,0.0
1350,-14.1,0.0
1365,-14.1,0.0
1380,-14.1,0.0
1395,-14.1,0.0
1410,-14.0,0.0
1425,-14.0,0.0
1440,-14.2,0.0
1455,-14.0,0.0
1470,-14.0,0.0
1485,-14.1,0.0
1500,-14.1,0.0
1515,-14.2,0.0
1530,-14.2,0.0
1545,-14.2,0.0
1560,-14.2,0.0
1575,-14.2,0.0
1590,-14.3,0.0
1605,-14.1,0.0
1620,-14.0,0.0
1635,-14.0,0.0
1650,-14.0,0.0
1665,-14.0,0.0
1680,-13.9,0.0
1695,-13.9,0.0
1710,-13.9,0.0
1725,-13.9,0.0
1740,-13.9,0.0
1755,-14.2,0.0
1770,-14.5,0.0
1785,-13.7,1.59
1800,23.4,42.0
1815,83.7,101.0
1830,183.0,199.0
1845,285.0,300.0
1860,432.0,449.0
1875,635.0,650.0
1890,895.0,912.0
1905,1174.0,1193.0
1920,1486.0,1505.0
1935,1796.0,1830.0
1950,2088.0,2112.0
1965,2356.0,2385.0
1980,2609.0,2640.0
1995,2851.0,2885.0
2010,3087.0,3122.0
2025,3330.0,3369.0
2040,3478.0,3524.0
2055,3056.0,3098.0
2070,3492.0,3533.0
2085,3654.0,3689.0
2100,3683.0,3713.0
2115,3831.0,3921.0
2130,3575.0,3571.0
2145,4048.0,4138.0
2160,4485.0,4527.0
2175,4449.0,4445.0
2190,4446.0,4545.0
2205,4198.0,4382.0
2220,3570.0,3674.0
2235,4480.0,4509.0
2250,1219.0,1283.0
2265,1505.0,1581.0
2280,2651.0,2614.0
2295,1616.0,1644.0
2310,4277.0,4337.0
2325,3685.0,3763.0
2340,2270.0,2404.0
2355,973.0,1001.0
2370,1137.0,1164.0
2385,2885.0,2908.0
2400,3518.0,3568.0
2415,2966.0,3044.0
2430,597.0,605.0
2445,628.0,655.0
2460,968.0,991.0
2475,1391.0,1425.0
2490,999.0,1031.0
2505,1228.0,1228.0
2520,1229.0,1260.0
2535,1014.0,1039.0
2550,595.0,624.0
2565,295.0,320.0
2580,192.0,214.0
2595,97.7,118.0
2610,20.6,42.3
2625,11.1,26.8
2640,-12.2,5.21
2655,-14.3,0.0
2670,-14.1,0.0
2685,-13.8,0.0
2700,-13.9,0.0
2715,-13.8,0.0
2730,-13.9,0.0
2745,-14.0,0.0
2760,-14.1,0.0
2775,-13.9,0.0
2790,-14.0,0.0
2805,-14.1,0.0
2820,-14.0,0.0
2835,-14.0,0.0
2850,-14.1,0.0
2865,-14.1,0.0
2880,-14.0,0.0
2895,-14.1,0.0
2910,-14.1,0.0
2925,-14.1,0.0
2940,-14.1,0.0
2955,-14.2,0.0
2970,-14.2,0.0
2985,-14.2,0.0
3000,-14.0,0.0
3015,-13.9,0.0
3030,-14.0,0.0
3045,-13.9,0.0
3060,-14.0,0.0
3075,-13.9,0.0
3090,-14.0,0.0
3105,-14.0,0.0
3120,-13.8,0.0
3135,-13.8,0.0
3150,-13.9,0.0
3165,-13.9,0.0
3180,-13.9,0.0
3195,-14.1,0.0
3210,-14.4,0.0
3225,-6.44,10.0
3240,43.1,60.8
3255,122.0,139.0
3270,171.0,189.0
3285,339.0,357.0
3300,580.0,595.0
3315,479.0,494.0
3330,578.0,602.0
3345,1165.0,1189.0
3360,1189.0,1210.0
3375,1642.0,1663.0
3390,1885.0,1907.0
3405,2160.0,2187.0
3420,2401.0,2432.0
3435,2654.0,2686.0
3450,2880.0,2913.0
3465,3127.0,3163.0
3480,3310.0,3349.0
3495,3526.0,3569.0
3510,3618.0,3672.0
3525,3700.0,3728.0
3540,3947.0,4028.0
3555,3135.0,3126.0
3570,4213.0,4265.0
3585,4355.0,4419.0
3600,4326.0,4316.0
3615,4099.0,4334.0
3630,3643.0,3741.0
3645,3647.0,3697.0
3660,3579.0,3616.0
3675,3747.0,3770.0
3690,2555.0,2595.0
3705,4008.0,3947.0
3720,4447.0,4511.0
3735,3869.0,3908.0
3750,1831.0,1989.0
3765,1185.0,1211.0
3780,623.0,648.0
3795,116.0,144.0
3810,9.16,31.0
3825,195.0,215.0
3840,1986.0,1905.0
3855,2469.0,2476.0
3870,1430.0,1501.0
3885,1401.0,1443.0
3900,2088.0,2095.0
3915,1846.0,1884.0
3930,1332.0,1333.0
3945,621.0,648.0
3960,576.0,611.0
3975,473.0,493.0
3990,524.0,551.0
4005,678.0,699.0
4020,455.0,474.0
4035,206.0,225.0
4050,16.7,36.6
4065,-5.95,12.8
4080,-14.7,0.14300000000000002
4095,-14.4,0.0
4110,-14.2,0.0
4125,-14.0,0.0
4140,-14.0,0.0
4155,-14.1,0.0
4170,-13.9,0.0
4185,-14.0,0.0
4200,-14.2,0.0
4215,-14.1,0.0
4230,-13.9,0.0
4245,-14.0,0.0
4260,-14.0,0.0
4275,-14.0,0.0
4290,-14.0,0.0
4305,-14.0,0.0
4320,-14.1,0.0
4335,-14.1,0.0
4350,-14.0,0.0
4365,-14.2,0.0
4380,-14.1,0.0
4395,-14.1,0.0
4410,-14.1,0.0
4425,-14.2,0.0
4440,-14.1,0.0
4455,-14.1,0.0
4470,-13.9,0.0
4485,-14.0,0.0
4500,-14.1,0.0
4515,-14.1,0.0
4530,-14.1,0.0
4545,-14.1,0.0
4560,-14.1,0.0
4575,-14.0,0.0
4590,-14.1,0.0
4605,-14.0,0.0
4620,-14.0,0.0
4635,-14.1,0.0
4650,-14.5,0.0
4665,-14.5,0.162
4680,11.0,27.3
4695,56.2,71.6
4710,91.9,107.0
4725,218.0,231.0
4740,420.0,432.0
4755,679.0,691.0
4770,713.0,725.0
4785,678.0,700.0
4800,1187.0,1244.0
4815,1442.0,1411.0
4830,1417.0,1517.0
4845,1680.0,1587.0
4860,1437.0,1405.0
4875,1681.0,1721.0
4890,1605.0,1593.0
4905,2133.0,2254.0
4920,2669.0,2648.0
4935,3159.0,3113.0
4950,2138.0,1994.0
4965,2820.0,2586.0
4980,2529.0,2699.0
4995,2305.0,2393.0
5010,2608.0,2528.0
5025,2854.0,2940.0
5040,2533.0,2463.0
5055,2760.0,2802.0
5070,2227.0,2212.0
5085,2489.0,2372.0
5100,1950.0,1958.0
5115,1715.0,1687.0
5130,2205.0,2221.0
5145,1321.0,1323.0
5160,1687.0,1708.0
5175,1245.0,1251.0
5190,1777.0,1793.0
5205,1106.0,1120.0
5220,2678.0,2692.0
5235,3602.0,3330.0
5250,2861.0,2792.0
5265,3028.0,3180.0
5280,4044.0,3829.0
5295,3037.0,2855.0
5310,2720.0,2710.0
5325,2682.0,2701.0
5340,1550.0,1593.0
5355,1660.0,1654.0
5370,1633.0,1704.0
5385,1581.0,1601.0
5400,1259.0,1276.0
5415,871.0,888.0
5430,578.0,595.0
5445,331.0,347.0
5460,168.0,185.0
5475,87.0,105.0
