time,measured,inverted
0,-17.4,0.0
15,-17.9,0.0
30,-17.4,0.0
45,-17.3,0.0
60,-17.0,0.0
75,-17.5,0.0
90,-16.1,0.0
105,-16.9,0.0
120,-23.6,0.0
135,-20.5,0.0
150,-20.1,0.0
165,-18.4,0.0
180,-18.8,0.0
195,-20.3,0.0
210,-20.4,0.0
225,-20.4,0.0
240,-18.9,0.0
255,-19.0,0.0
270,-21.0,0.0
285,-18.3,0.0
300,-21.3,0.0
315,-19.1,0.0
330,-20.2,0.0
345,-21.6,0.0
360,-25.3,0.0
375,-23.0,0.0
390,-23.0,0.0
405,-22.5,0.0
420,-6.88,16.9
435,41.2,64.7
450,102.0,126.0
465,176.0,202.0
480,240.0,267.0
495,307.0,338.0
510,392.0,423.0
525,430.0,463.0
540,488.0,525.0
555,703.0,734.0
570,1077.0,1115.0
585,1099.0,1148.0
600,794.0,826.0
615,1022.0,1053.0
630,873.0,913.0
645,843.0,892.0
660,740.0,778.0
675,831.0,872.0
690,861.0,901.0
705,844.0,881.0
720,871.0,913.0
735,622.0,655.0
750,497.0,530.0
765,472.0,503.0
780,525.0,557.0
795,415.0,445.0
810,343.0,368.0
825,277.0,302.0
840,256.0,277.0
855,315.0,340.0
870,268.0,292.0
885,206.0,229.0
900,145.0,168.0
915,115.0,136.0
930,75.6,94.2
945,31.7,50.9
960,-1.85,18.5
975,-19.6,1.32
990,-22.9,0.0
1005,-24.6,0.0
1020,-23.2,0.0
1035,-21.3,0.0
1050,-24.7,0.0
1065,-22.1,0.0
1080,-22.8,0.0
1095,-19.8,0.0
1110,-20.8,0.0
1125,-23.3,0.0
1140,-21.9,0.0
1155,-23.2,0.0
1170,-22.9,0.0
1185,-22.7,0.0
1200,-21.1,0.0
1215,-20.4,0.0
1230,-21.0,0.0
1245,-21.0,0.0
1260,-19.3,0.0
1275,-19.3,0.0
1290,-20.2,0.0
1305,-20.7,0.0
1320,-18.8,0.0
1335,-19.1,0.0
1350,-19.6,0.0
1365,-19.1,0.0
1380,-19.8,0.0
1395,-20.5,0.0
1410,-19.2,0.0
1425,-18.2,0.0
1440,-18.3,0.0
1455,-19.1,0.0
1470,-17.1,0.0
1485,-17.2,0.0
1500,-16.9,0.0
1515,-18.6,0.0
