time,measured,inverted
0,-10.4,0.0
15,-10.4,0.0
30,-10.4,0.0
45,-10.2,0.0
60,-10.2,0.0
75,-10.3,0.0
90,-10.3,0.0
105,-10.2,0.0
120,-10.2,0.0
135,-10.2,0.0
150,-10.2,0.0
165,-10.2,0.0
180,-17.8,0.0
195,-12.4,0.0
210,-13.1,0.0
225,-14.1,0.0
240,-25.7,0.0
255,-16.1,0.0
270,-17.1,0.0
285,-15.2,0.0
300,-15.2,0.0
315,-15.6,0.0
330,-18.1,0.0
345,-15.9,0.0
360,-14.8,0.0
375,-16.3,0.0
390,-16.2,0.0
405,-11.1,2.85
420,10.7,28.2
435,86.3,103.0
450,192.0,205.0
465,312.0,327.0
480,473.0,488.0
495,666.0,675.0
510,928.0,930.0
525,1454.0,1482.0
540,2055.0,2069.0
555,2574.0,2586.0
570,2840.0,2869.0
585,3099.0,3114.0
600,3393.0,3426.0
615,3535.0,3551.0
630,3633.0,3678.0
645,3970.0,4033.0
660,4111.0,4158.0
675,4220.0,4273.0
690,4245.0,4300.0
705,4207.0,4263.0
720,4249.0,4306.0
735,4206.0,4243.0
750,4148.0,4206.0
765,4181.0,4237.0
780,3951.0,4011.0
795,3807.0,3860.0
810,3729.0,3781.0
825,3652.0,3698.0
840,3451.0,3491.0
855,3267.0,3306.0
870,3018.0,3053.0
885,2648.0,2676.0
900,2156.0,2181.0
915,1692.0,1710.0
930,1362.0,1379.0
945,1078.0,1092.0
960,794.0,807.0
975,504.0,517.0
990,246.0,257.0
1005,91.5,103.0
1020,23.4,37.4
1035,-7.84,6.0
1050,-12.9,0.0
1065,-11.8,0.0
1080,-11.3,0.0
1095,-10.5,0.0
1110,-11.3,0.0
1125,-11.4,0.0
1140,-12.2,0.0
1155,-11.2,0.0
1170,-13.0,0.0
1185,-12.0,0.0
1200,-13.5,0.0
1215,-10.5,0.0
1230,-12.6,0.0
1245,-12.3,0.0
1260,-11.8,0.0
1275,-11.9,0.0
1290,-11.9,0.0
1305,-11.7,0.0
1320,-10.2,0.0
1335,-10.2,0.0
1350,-10.1,0.0
1365,-10.1,0.0
1380,-10.2,0.0
1395,-10.1,0.0
1410,-10.1,0.0
1425,-10.1,0.0
1440,-10.2,0.0
1455,-10.2,0.0
1470,-10.2,0.0
1485,-10.3,0.0
1500,-10.2,0.0
1515,-10.2,0.0
1530,-10.2,0.0
1545,-10.2,0.0
1560,-10.2,0.0
1575,-10.2,0.0
1590,-10.2,0.0
1605,-10.2,0.0
1620,-15.6,0.0
1635,-10.7,0.0
1650,-11.8,0.0
1665,-12.5,0.0
1680,-21.5,0.0
1695,-15.0,0.0
1710,-13.6,0.0
1725,-12.6,0.0
1740,-15.1,0.0
1755,-14.7,0.0
1770,-14.7,0.0
1785,-12.1,0.0
1800,-14.9,0.0
1815,-13.0,0.0
1830,-14.3,0.0
1845,-12.5,2.27
1860,18.1,34.2
1875,117.0,131.0
1890,344.0,359.0
1905,630.0,638.0
1920,932.0,949.0
1935,1196.0,1213.0
1950,1627.0,1646.0
1965,2057.0,2059.0
1980,2483.0,2509.0
1995,1436.0,1405.0
2010,1257.0,1274.0
2025,1205.0,1218.0
2040,1517.0,1541.0
2055,2353.0,2408.0
2070,3082.0,3138.0
2085,1624.0,1661.0
2100,1894.0,1920.0
2115,1730.0,1745.0
2130,1754.0,1775.0
2145,1874.0,1899.0
2160,2018.0,2057.0
2175,2380.0,2353.0
2190,2315.0,2345.0
2205,1894.0,1892.0
2220,1327.0,1344.0
2235,2596.0,2586.0
2250,3617.0,3645.0
2265,3246.0,3280.0
2280,3053.0,3167.0
2295,2897.0,2963.0
2310,2645.0,2660.0
2325,2248.0,2315.0
2340,1852.0,1871.0
2355,1067.0,1076.0
2370,770.0,782.0
2385,690.0,698.0
2400,290.0,303.0
2415,167.0,181.0
2430,74.9,89.4
2445,21.3,35.7
2460,-3.46,10.6
2475,-11.2,0.0
2490,-11.3,0.0
2505,-10.8,0.0
2520,-10.7,0.0
2535,-10.8,0.0
2550,-10.8,0.0
2565,-10.7,0.0
2580,-10.4,0.0
2595,-10.5,0.0
2610,-10.5,0.0
2625,-10.1,0.0
2640,-10.1,0.0
2655,-10.0,0.0
2670,-10.1,0.0
2685,-10.1,0.0
2700,-10.1,0.0
2715,-10.1,0.0
2730,-10.1,0.0
2745,-9.99,0.0
2760,-10.1,0.0
2775,-10.0,0.0
2790,-9.98,0.0
2805,-10.0,0.0
2820,-10.0,0.0
2835,-10.0,0.0
2850,-10.0,0.0
2865,-9.95,0.0
2880,-10.0,0.0
2895,-9.95,0.0
