time,measured,inverted
0,-10.2,0.0
15,-10.1,0.0
30,-10.2,0.0
45,-10.1,0.0
60,-10.2,0.0
75,-10.1,0.0
90,-10.2,0.0
105,-10.2,0.0
120,-10.1,0.0
135,-10.1,0.0
150,-10.1,0.0
165,-10.1,0.0
180,-18.5,0.0
195,-10.2,0.0
210,-13.4,0.0
225,-11.2,0.0
240,-17.5,0.0
255,-12.0,0.0
270,-13.5,0.0
285,-13.5,0.0
300,-12.8,0.0
315,-11.9,0.0
330,-12.7,0.0
345,-11.4,0.0
360,-12.6,0.0
375,-11.4,0.0
390,-12.9,0.0
405,-12.8,0.0
420,-12.6,0.0
435,-11.0,5.22
450,8.57,22.4
465,25.0,39.9
480,50.3,65.1
495,92.8,107.0
510,136.0,150.0
525,135.0,150.0
540,145.0,160.0
555,154.0,167.0
570,145.0,160.0
585,150.0,163.0
600,155.0,169.0
615,172.0,186.0
630,154.0,168.0
645,189.0,202.0
660,200.0,215.0
675,234.0,247.0
690,317.0,330.0
705,248.0,262.0
720,315.0,327.0
735,276.0,288.0
750,253.0,267.0
765,249.0,262.0
780,243.0,256.0
795,201.0,214.0
810,189.0,203.0
825,164.0,177.0
840,142.0,156.0
855,138.0,152.0
870,106.0,121.0
885,71.0,84.2
900,52.5,65.9
915,32.3,47.3
930,24.8,38.3
945,8.26,23.0
960,-2.51,11.0
975,-13.0,0.9159999999999999
990,-10.9,0.0
1005,-12.3,0.0
1020,-12.0,0.0
1035,-10.8,0.0
1050,-12.1,0.0
1065,-11.8,0.0
1080,-11.6,0.0
1095,-11.0,0.0
1110,-13.1,0.0
1125,-11.6,0.0
1140,-12.2,0.0
1155,-14.8,0.0
1170,-11.9,0.0
1185,-13.0,0.0
1200,-12.2,0.0
1215,-11.1,0.0
1230,-12.9,0.0
1245,-10.6,0.0
1260,-12.6,0.0
1275,-10.0,0.0
1290,-11.3,0.0
1305,-10.1,0.0
1320,-10.1,0.0
1335,-10.0,0.0
1350,-10.0,0.0
1365,-10.1,0.0
1380,-10.1,0.0
1395,-10.1,0.0
1410,-10.1,0.0
1425,-10.1,0.0
1440,-10.1,0.0
1455,-10.1,0.0
1470,-10.1,0.0
1485,-10.1,0.0
1500,-10.0,0.0
1515,-10.1,0.0
1530,-10.1,0.0
1545,-10.0,0.0
1560,-9.97,0.0
1575,-10.1,0.0
1590,-10.0,0.0
1605,-9.96,0.0
1620,-18.2,0.0
1635,-9.84,0.0
1650,-13.1,0.0
1665,-11.3,0.0
1680,-17.5,0.0
1695,-11.5,0.0
1710,-14.3,0.0
1725,-13.3,0.0
1740,-13.3,0.0
1755,-13.0,0.0
1770,-11.8,0.0
1785,-13.5,0.0
1800,-10.7,0.0
1815,-14.5,0.0
1830,-12.3,0.0
1845,-14.1,0.0
1860,-13.7,0.0
1875,-13.4,0.0
1890,-13.2,0.508
1905,-10.3,4.12
1920,-0.209,16.2
1935,27.3,42.1
1950,27.7,41.3
1965,27.0,42.3
1980,57.3,72.4
1995,88.3,103.0
2010,63.9,77.7
2025,114.0,125.0
2040,210.0,224.0
2055,252.0,266.0
2070,264.0,276.0
2085,298.0,312.0
2100,376.0,386.0
2115,417.0,427.0
2130,291.0,306.0
2145,225.0,240.0
2160,193.0,207.0
2175,330.0,343.0
2190,218.0,232.0
2205,238.0,253.0
2220,196.0,209.0
2235,185.0,198.0
2250,213.0,228.0
2265,203.0,218.0
2280,114.0,129.0
2295,114.0,128.0
2310,98.7,113.0
2325,97.9,112.0
2340,58.3,73.6
2355,25.9,40.5
2370,18.3,33.6
2385,9.43,23.5
2400,3.68,18.0
2415,-14.2,2.08
2430,-14.5,0.0
2445,-14.3,0.0
2460,-15.0,0.0
2475,-14.0,0.0
2490,-14.1,0.0
2505,-13.6,0.0
2520,-13.9,0.0
2535,-14.4,0.0
2550,-14.1,0.0
2565,-15.0,0.0
2580,-14.5,0.0
2595,-15.0,0.0
2610,-14.3,0.0
2625,-14.6,0.0
2640,-15.2,0.0
2655,-13.2,0.0
2670,-13.8,0.0
2685,-15.3,0.0
2700,-12.6,0.0
2715,-11.6,0.0
2730,-12.1,0.0
2745,-11.2,0.0
2760,-10.4,0.0
2775,-10.1,0.0
2790,-10.1,0.0
2805,-10.0,0.0
2820,-10.1,0.0
2835,-9.97,0.0
2850,-10.0,0.0
2865,-10.1,0.0
2880,-10.1,0.0
2895,-10.0,0.0
2910,-10.1,0.0
2925,-10.0,0.0
2940,-10.1,0.0
2955,-9.99,0.0
2970,-9.98,0.0
2985,-10.0,0.0
3000,-10.0,0.0
3015,-10.1,0.0
3030,-10.1,0.0
3045,-10.0,0.0
3060,-21.1,0.0
3075,-12.3,0.0
3090,-11.8,0.0
3105,-13.1,0.0
3120,-20.2,0.0
3135,-12.9,0.0
3150,-15.0,0.0
3165,-15.9,0.0
3180,-12.7,0.0
3195,-15.5,0.0
3210,-13.1,0.0
3225,-13.0,0.0
3240,-14.2,0.0
3255,-14.2,0.0
3270,-12.8,0.0
3285,-16.8,0.0
3300,-11.4,2.08
3315,11.7,28.6
3330,136.0,151.0
3345,327.0,342.0
3360,610.0,613.0
3375,977.0,991.0
3390,1262.0,1277.0
3405,1343.0,1527.0
3420,1767.0,1760.0
3435,1991.0,2009.0
3450,2230.0,2250.0
3465,2500.0,2522.0
3480,2767.0,2790.0
3495,3041.0,3069.0
3510,3275.0,3307.0
3525,3461.0,3496.0
3540,3618.0,3657.0
3555,3713.0,3753.0
