time,measured,inverted
0,-13.6,0.0
15,-13.5,0.0
30,-13.5,0.0
45,-13.5,0.0
60,-13.5,0.0
75,-13.5,0.0
90,-13.5,0.0
105,-13.5,0.0
120,-13.5,0.0
135,-13.5,0.0
150,-13.5,0.0
165,-13.5,0.0
180,-13.5,0.0
195,-13.5,0.0
210,-13.5,0.0
225,-13.5,0.0
240,-13.6,0.0
255,-13.6,0.0
270,-13.5,0.0
285,-13.7,0.0
300,-14.1,0.0
315,-14.2,0.0
330,1.96,6.72
345,53.2,24.3
360,109.0,89.6
375,94.5,77.0
390,115.0,84.8
405,230.0,101.0
420,441.0,158.0
435,625.0,251.0
450,967.0,494.0
465,1423.0,824.0
480,1722.0,882.0
495,2149.0,1095.0
510,977.0,530.0
525,1492.0,775.0
540,2164.0,1340.0
555,2487.0,1080.0
570,2443.0,1268.0
585,2946.0,1529.0
600,3282.0,1949.0
615,3757.0,2203.0
630,3805.0,2263.0
645,4151.0,2286.0
660,3159.0,1869.0
675,3824.0,2270.0
690,4480.0,2603.0
705,4504.0,2209.0
720,3004.0,1504.0
735,4072.0,2314.0
750,4265.0,1909.0
765,4376.0,2246.0
780,4284.0,2213.0
795,3681.0,2556.0
810,4124.0,2586.0
825,4135.0,2344.0
840,4245.0,2522.0
855,4258.0,2575.0
870,4214.0,2194.0
885,4004.0,1802.0
900,3650.0,1663.0
915,2504.0,1370.0
930,2987.0,1950.0
945,3645.0,2172.0
960,3352.0,2031.0
975,3012.0,1830.0
990,2725.0,1437.0
1005,2465.0,1273.0
1020,2133.0,1138.0
1035,1921.0,1146.0
1050,1652.0,1018.0
1065,1209.0,620.0
1080,187.0,220.0
1095,0.32,19.2
1110,-0.11699999999999999,17.4
1125,32.1,30.0
1140,34.3,17.9
1155,-1.32,5.5
1170,-5.62,3.99
1185,-14.2,0.17800000000000002
1200,-13.9,0.0
1215,-13.7,0.0
1230,-13.8,0.0
1245,-13.9,0.0
1260,-13.4,0.0
1275,-13.5,0.0
1290,-13.5,0.0
1305,-13.5,0.0
1320,-13.5,0.0
1335,-13.6,0.0
1350,-13.5,0.0
1365,-13.5,0.0
1380,-13.6,0.0
1395,-13.5,0.0
1410,-13.6,0.0
1425,-13.6,0.0
1440,-13.6,0.0
1455,-13.7,0.0
1470,-13.7,0.0
1485,-13.6,0.0
1500,-13.7,0.0
1515,-13.6,0.0
1530,-13.6,0.0
1545,-13.6,0.0
1560,-13.6,0.0
1575,-13.6,0.0
1590,-13.6,0.0
1605,-13.6,0.0
1620,-13.6,0.0
1635,-13.5,0.0
1650,-13.7,0.0
1665,-13.5,0.0
1680,-13.5,0.0
1695,-13.5,0.0
1710,-13.5,0.0
1725,-13.5,0.0
1740,-14.0,0.0
1755,-13.9,0.0
1770,-11.1,1.48
1785,33.3,17.9
1800,98.9,40.2
1815,157.0,59.5
1830,245.0,89.6
1845,397.0,142.0
1860,627.0,222.0
1875,900.0,316.0
1890,1180.0,413.0
1905,1290.0,461.0
1920,1592.0,887.0
1935,1882.0,820.0
1950,2111.0,1233.0
1965,2378.0,1473.0
1980,2788.0,1653.0
1995,3020.0,1556.0
2010,3227.0,1645.0
2025,3340.0,1699.0
2040,3534.0,1806.0
2055,3712.0,2213.0
2070,3638.0,2109.0
2085,4011.0,2280.0
2100,4243.0,2526.0
2115,4342.0,2632.0
2130,3386.0,2103.0
2145,4407.0,2706.0
2160,4354.0,2579.0
2175,2788.0,1488.0
2190,3491.0,1900.0
2205,4206.0,2257.0
2220,1425.0,1387.0
2235,1287.0,774.0
2250,1777.0,1045.0
2265,1859.0,967.0
2280,2201.0,1147.0
2295,4042.0,2162.0
2310,4012.0,2461.0
2325,1554.0,1027.0
2340,3627.0,1641.0
2355,2715.0,1464.0
2370,2408.0,1391.0
2385,3737.0,2284.0
2400,1919.0,1296.0
2415,3357.0,1537.0
2430,2968.0,1807.0
2445,2203.0,1418.0
2460,1344.0,746.0
2475,1307.0,764.0
2490,2051.0,1128.0
2505,1055.0,721.0
2520,512.0,326.0
2535,592.0,400.0
2550,512.0,349.0
2565,277.0,244.0
2580,210.0,134.0
2595,115.0,91.9
2610,60.1,41.5
2625,41.9,20.9
2640,32.9,38.3
2655,3.91,28.4
2670,-12.8,0.7759999999999999
2685,-13.2,0.0
2700,-13.2,0.0
2715,-13.5,0.0
2730,-13.6,0.0
2745,-13.7,0.0
2760,-13.7,0.0
2775,-13.8,0.0
2790,-13.7,0.0
2805,-13.7,0.0
2820,-13.6,0.0
2835,-13.9,0.0
2850,-13.9,0.0
2865,-13.8,0.0
2880,-13.8,0.0
2895,-14.0,0.0
2910,-13.9,0.0
2925,-14.0,0.0
2940,-13.9,0.0
2955,-14.0,0.0
2970,-14.0,0.0
2985,-14.1,0.0
3000,-14.1,0.0
3015,-14.0,0.0
3030,-13.9,0.0
3045,-13.9,0.0
3060,-13.9,0.0
3075,-13.9,0.0
3090,-14.0,0.0
3105,-14.0,0.0
3120,-13.9,0.0
3135,-13.9,0.0
3150,-14.0,0.0
3165,-14.1,0.0
3180,-14.3,0.0
3195,-14.4,0.0
3210,-3.8,4.73
3225,51.4,24.6
3240,115.0,97.4
3255,191.0,123.0
3270,283.0,196.0
3285,405.0,282.0
3300,566.0,367.0
3315,782.0,571.0
3330,1018.0,669.0
3345,1280.0,632.0
3360,1538.0,690.0
3375,1787.0,927.0
3390,1868.0,1139.0
3405,2229.0,1307.0
3420,2563.0,1324.0
3435,2805.0,1664.0
3450,2916.0,1488.0
3465,3215.0,1646.0
3480,3378.0,1742.0
3495,3522.0,2101.0
3510,3626.0,2183.0
3525,3772.0,2262.0
3540,3779.0,2320.0
3555,3153.0,1692.0
3570,2220.0,1172.0
3585,2793.0,1706.0
3600,3526.0,2030.0
3615,3311.0,2050.0
3630,4579.0,2618.0
3645,3276.0,1597.0
3660,2182.0,1069.0
3675,2603.0,1592.0
3690,3661.0,1857.0
3705,3783.0,2220.0
3720,4193.0,2342.0
3735,3886.0,2066.0
3750,4266.0,2206.0
3765,3893.0,2331.0
3780,2593.0,1569.0
3795,3237.0,1847.0
3810,3284.0,1757.0
3825,3380.0,2017.0
3840,2668.0,1680.0
3855,2871.0,1695.0
3870,2744.0,1659.0
3885,2420.0,1242.0
3900,2248.0,1342.0
3915,2112.0,1286.0
3930,1846.0,1018.0
3945,1114.0,687.0
3960,333.0,246.0
3975,555.0,293.0
3990,504.0,273.0
4005,467.0,256.0
4020,163.0,101.0
4035,78.1,56.9
4050,28.3,37.7
4065,52.8,34.6
4080,24.8,15.1
4095,-7.33,8.01
4110,-13.7,0.0
4125,-13.6,0.0
4140,-13.5,0.0
4155,-13.6,0.0
4170,-13.6,0.0
4185,-13.7,0.0
4200,-13.8,0.0
4215,-13.7,0.0
4230,-13.7,0.0
4245,-13.9,0.0
4260,-13.8,0.0
4275,-13.7,0.0
4290,-13.8,0.0
4305,-13.9,0.0
4320,-13.9,0.0
4335,-13.9,0.0
4350,-13.9,0.0
4365,-14.0,0.0
4380,-14.0,0.0
4395,-14.0,0.0
4410,-14.0,0.0
4425,-13.9,0.0
4440,-14.0,0.0
4455,-14.0,0.0
4470,-14.0,0.0
4485,-13.9,0.0
4500,-13.9,0.0
4515,-13.9,0.0
4530,-13.8,0.0
4545,-14.0,0.0
