time,measured,inverted
0,-13.0,0.0
15,-13.2,0.0
30,-13.2,0.0
45,-13.2,0.0
60,-13.3,0.0
75,-13.3,0.0
90,-13.3,0.0
105,-13.3,0.0
120,-13.3,0.0
135,-13.3,0.0
150,-13.3,0.0
165,-13.3,0.0
180,-13.4,0.0
195,-13.5,0.0
210,-13.6,0.0
225,-13.6,0.0
240,-13.6,0.0
255,-13.6,0.0
270,-13.6,0.0
285,-13.6,0.0
300,-13.7,0.0
315,-13.7,0.0
330,2.75,18.0
345,67.5,83.7
360,165.0,181.0
375,243.0,258.0
390,347.0,361.0
405,521.0,536.0
420,700.0,717.0
435,889.0,903.0
450,1273.0,1292.0
465,1592.0,1604.0
480,1196.0,1211.0
495,1637.0,1660.0
510,2206.0,2232.0
525,2413.0,2443.0
540,2684.0,2719.0
555,2887.0,2925.0
570,3081.0,3122.0
585,3254.0,3297.0
600,3471.0,3518.0
615,3665.0,3716.0
630,3857.0,3914.0
645,3905.0,3972.0
660,3822.0,3882.0
675,4305.0,4375.0
690,4326.0,4393.0
705,3641.0,3688.0
720,3361.0,3518.0
735,3597.0,3662.0
750,3441.0,3534.0
765,3441.0,3493.0
780,3335.0,3346.0
795,3501.0,3568.0
810,4122.0,4186.0
825,3810.0,3888.0
840,3769.0,3839.0
855,4074.0,4138.0
870,3776.0,3821.0
885,2287.0,2335.0
900,2852.0,2892.0
915,2727.0,2762.0
930,2603.0,2659.0
945,2463.0,2500.0
960,2077.0,2115.0
975,2484.0,2524.0
990,2418.0,2435.0
1005,1746.0,1771.0
1020,1797.0,1867.0
1035,1215.0,1297.0
1050,1048.0,1045.0
1065,781.0,809.0
1080,1148.0,1178.0
1095,848.0,873.0
1110,498.0,526.0
1125,438.0,461.0
1140,364.0,386.0
1155,271.0,290.0
1170,128.0,148.0
1185,43.6,63.2
1200,4.3,21.7
1215,-13.8,1.15
1230,-13.4,0.0
1245,-13.1,0.0
1260,-12.9,0.0
1275,-12.9,0.0
1290,-13.0,0.0
1305,-13.1,0.0
1320,-13.0,0.0
1335,-13.1,0.0
1350,-13.0,0.0
1365,-13.0,0.0
1380,-13.1,0.0
1395,-13.0,0.0
1410,-13.1,0.0
1425,-13.0,0.0
1440,-13.1,0.0
1455,-13.2,0.0
1470,-13.2,0.0
1485,-13.1,0.0
1500,-13.2,0.0
1515,-13.1,0.0
1530,-13.2,0.0
1545,-13.2,0.0
1560,-13.2,0.0
1575,-13.1,0.0
1590,-13.1,0.0
1605,-13.1,0.0
1620,-13.1,0.0
1635,-13.1,0.0
1650,-13.1,0.0
1665,-13.2,0.0
1680,-13.1,0.0
1695,-13.1,0.0
1710,-13.2,0.0
1725,-13.3,0.0
1740,-13.7,0.0
1755,-9.96,4.97
1770,25.2,40.9
1785,88.4,105.0
1800,165.0,181.0
1815,261.0,275.0
1830,380.0,395.0
1845,533.0,544.0
1860,722.0,735.0
1875,953.0,967.0
1890,1251.0,1266.0
1905,1551.0,1570.0
1920,1836.0,1857.0
1935,2118.0,2141.0
1950,2438.0,2464.0
1965,2743.0,2777.0
1980,2750.0,2756.0
1995,3280.0,3319.0
2010,3485.0,3527.0
2025,3727.0,3777.0
2040,3940.0,3993.0
2055,4097.0,4152.0
2070,4276.0,4336.0
2085,4416.0,4481.0
2100,4544.0,4610.0
2115,4631.0,4699.0
2130,4613.0,4666.0
2145,3523.0,3498.0
2160,4203.0,4303.0
2175,3753.0,3869.0
2190,4122.0,4210.0
2205,4160.0,4165.0
2220,4066.0,4179.0
2235,3906.0,3915.0
2250,3637.0,3691.0
2265,4298.0,4328.0
2280,4113.0,4235.0
2295,4246.0,4379.0
2310,3704.0,3838.0
2325,4304.0,4275.0
2340,4162.0,4111.0
2355,3999.0,4033.0
2370,3305.0,3354.0
2385,3546.0,3631.0
2400,2719.0,2735.0
2415,3268.0,3318.0
2430,2745.0,2793.0
2445,1857.0,1889.0
2460,2399.0,2438.0
2475,1787.0,1803.0
2490,1295.0,1324.0
2505,997.0,1019.0
2520,1109.0,1131.0
2535,817.0,836.0
2550,596.0,615.0
2565,430.0,447.0
2580,302.0,320.0
2595,207.0,224.0
2610,128.0,146.0
2625,47.5,65.1
2640,12.1,28.9
2655,-12.6,2.61
2670,-12.8,0.0
2685,-13.1,0.0
2700,-12.8,0.0
2715,-12.9,0.0
2730,-12.8,0.0
2745,-12.8,0.0
2760,-12.8,0.0
2775,-12.9,0.0
2790,-13.0,0.0
2805,-13.0,0.0
2820,-13.1,0.0
2835,-13.0,0.0
2850,-13.0,0.0
2865,-13.0,0.0
2880,-13.0,0.0
2895,-13.1,0.0
2910,-13.2,0.0
2925,-12.9,0.0
2940,-12.7,0.0
2955,-12.8,0.0
2970,-12.6,0.0
2985,-12.3,0.0
3000,-12.0,0.0
3015,-11.9,0.0
3030,-11.9,0.0
3045,-11.5,0.0
3060,-11.2,0.0
3075,-11.2,0.0
3090,-11.1,0.0
3105,-11.1,0.0
3120,-11.1,0.0
3135,-11.1,0.0
3150,-11.1,0.0
3165,-11.2,0.0
3180,-11.3,0.0
3195,-3.32,10.4
3210,26.0,40.6
3225,71.1,85.3
3240,152.0,165.0
3255,252.0,265.0
3270,379.0,392.0
3285,535.0,548.0
3300,719.0,730.0
3315,954.0,963.0
3330,1200.0,1215.0
3345,1454.0,1467.0
3360,1735.0,1760.0
3375,2032.0,2052.0
3390,2285.0,2309.0
3405,2522.0,2547.0
3420,2787.0,2818.0
3435,3021.0,3056.0
3450,3255.0,3296.0
3465,3491.0,3536.0
3480,3687.0,3738.0
3495,3794.0,3843.0
3510,3917.0,3963.0
3525,4176.0,4257.0
3540,4244.0,4306.0
3555,4342.0,4407.0
3570,4375.0,4430.0
3585,4372.0,4452.0
3600,4210.0,4304.0
3615,4165.0,4236.0
3630,4275.0,4332.0
3645,4152.0,4215.0
3660,4155.0,4216.0
3675,4131.0,4207.0
3690,4216.0,4280.0
3705,4070.0,4136.0
3720,3835.0,3891.0
3735,3675.0,3773.0
3750,3575.0,3640.0
3765,3646.0,3701.0
3780,3433.0,3489.0
3795,3212.0,3286.0
3810,3191.0,3220.0
3825,3027.0,3055.0
3840,2748.0,2785.0
3855,2698.0,2723.0
3870,2278.0,2297.0
3885,1548.0,1564.0
3900,1344.0,1370.0
3915,1343.0,1373.0
3930,1556.0,1587.0
3945,1217.0,1242.0
3960,748.0,771.0
3975,713.0,735.0
3990,656.0,676.0
4005,338.0,358.0
4020,339.0,359.0
4035,209.0,229.0
4050,64.7,83.7
4065,24.5,43.1
4080,6.48,23.1
4095,-13.9,0.769
4110,-13.1,0.0
4125,-13.0,0.0
4140,-13.1,0.0
4155,-13.2,0.0
4170,-13.2,0.0
4185,-13.3,0.0
4200,-13.3,0.0
4215,-13.3,0.0
4230,-13.3,0.0
4245,-13.3,0.0
4260,-13.3,0.0
4275,-13.3,0.0
4290,-13.4,0.0
4305,-13.4,0.0
4320,-13.3,0.0
4335,-13.2,0.0
4350,-13.2,0.0
4365,-13.2,0.0
4380,-13.3,0.0
4395,-13.2,0.0
4410,-13.1,0.0
4425,-13.2,0.0
4440,-13.2,0.0
4455,-13.2,0.0
4470,-13.1,0.0
4485,-13.1,0.0
4500,-13.0,0.0
4515,-13.1,0.0
4530,-13.2,0.0
4545,-13.2,0.0
4560,-13.3,0.0
4575,-13.2,0.0
4590,-13.2,0.0
4605,-13.5,0.0
4620,-13.9,0.0
4635,-10.1,4.67
4650,30.8,47.2
4665,93.1,109.0
4680,219.0,234.0
4695,405.0,420.0
4710,618.0,632.0
4725,523.0,538.0
4740,541.0,555.0
4755,700.0,716.0
4770,1253.0,1269.0
4785,1646.0,1653.0
4800,2018.0,2037.0
4815,1517.0,1571.0
4830,2136.0,2156.0
4845,2496.0,2523.0
4860,1621.0,1640.0
4875,1500.0,1513.0
4890,1419.0,1408.0
4905,1187.0,1209.0
4920,2755.0,2793.0
4935,3588.0,3603.0
4950,2676.0,2677.0
4965,2323.0,2337.0
4980,2152.0,2193.0
4995,2284.0,2326.0
5010,3194.0,3252.0
5025,2649.0,2683.0
5040,2449.0,2496.0
5055,2636.0,2684.0
5070,1942.0,1967.0
5085,1237.0,1265.0
5100,1379.0,1405.0
5115,985.0,1020.0
5130,2691.0,2738.0
5145,2612.0,2556.0
5160,1843.0,1855.0
5175,2170.0,2360.0
5190,2201.0,2332.0
5205,2026.0,2059.0
5220,1702.0,1737.0
5235,1498.0,1494.0
5250,1578.0,1634.0
5265,1556.0,1531.0
5280,1840.0,1459.0
5295,2003.0,1302.0
5310,1473.0,1047.0
5325,1667.0,1084.0
5340,1621.0,938.0
5355,2117.0,1355.0
5370,1855.0,1348.0
5385,858.0,912.0
5400,719.0,735.0
5415,901.0,957.0
5430,703.0,727.0
5445,458.0,482.0
5460,395.0,419.0
5475,222.0,242.0
5490,74.6,93.6
5505,41.1,59.7
5520,15.2,32.0
5535,-11.8,2.5
5550,-12.8,0.0
5565,-12.4,0.0
5580,-12.2,0.0
5595,-12.2,0.0
5610,-12.2,0.0
5625,-12.3,0.0
5640,-12.3,0.0
5655,-12.3,0.0
5670,-12.3,0.0
5685,-12.4,0.0
5700,-12.4,0.0
5715,-12.4,0.0
5730,-12.3,0.0
5745,-12.4,0.0
5760,-12.4,0.0
5775,-12.4,0.0
5790,-12.4,0.0
5805,-12.4,0.0
5820,-12.5,0.0
5835,-12.5,0.0
5850,-12.5,0.0
5865,-12.5,0.0
5880,-12.4,0.0
5895,-12.5,0.0
5910,-12.5,0.0
5925,-12.5,0.0
5940,-12.5,0.0
5955,-12.5,0.0
5970,-12.5,0.0
5985,-12.5,0.0
6000,-12.5,0.0
6015,-12.5,0.0
6030,-12.4,0.0
6045,-12.4,0.0
6060,-12.9,0.0
6075,-12.9,0.0
6090,-13.0,0.0
6105,0.9279999999999999,16.1
6120,89.7,107.0
6135,205.0,221.0
6150,305.0,320.0
6165,394.0,413.0
6180,606.0,619.0
6195,645.0,659.0
6210,436.0,451.0
6225,1369.0,1405.0
6240,1712.0,1728.0
6255,1770.0,1811.0
6270,2224.0,2255.0
6285,2659.0,2660.0
6300,1622.0,1645.0
6315,1514.0,1538.0
6330,2060.0,2106.0
6345,1507.0,1535.0
6360,2657.0,2643.0
6375,2482.0,2503.0
6390,3801.0,4040.0
6405,3765.0,3804.0
6420,4185.0,4249.0
6435,4379.0,4444.0
6450,4464.0,4532.0
6465,4550.0,4540.0
6480,3504.0,3561.0
6495,2639.0,2674.0
6510,966.0,989.0
6525,500.0,529.0
6540,691.0,718.0
6555,1286.0,1323.0
6570,3916.0,3996.0
6585,4171.0,4240.0
6600,3117.0,3229.0
6615,3940.0,3946.0
6630,4160.0,4171.0
6645,4087.0,4147.0
6660,3946.0,4010.0
6675,3162.0,3242.0
6690,1998.0,2038.0
6705,1169.0,1196.0
6720,657.0,683.0
6735,290.0,316.0
6750,114.0,141.0
6765,121.0,150.0
6780,92.1,120.0
6795,115.0,139.0
6810,179.0,201.0
6825,230.0,250.0
6840,250.0,270.0
6855,279.0,298.0
6870,255.0,274.0
6885,215.0,234.0
6900,176.0,195.0
6915,96.9,116.0
6930,20.5,38.5
6945,-0.743,15.9
6960,-13.0,0.8959999999999999
6975,-13.0,0.0
6990,-13.0,0.0
7005,-12.7,0.0
7020,-12.5,0.0
7035,-12.5,0.0
7050,-12.6,0.0
7065,-12.6,0.0
7080,-12.6,0.0
7095,-12.6,0.0
7110,-12.7,0.0
7125,-12.7,0.0
7140,-12.7,0.0
7155,-12.7,0.0
7170,-12.7,0.0
7185,-12.7,0.0
7200,-12.7,0.0
7215,-12.8,0.0
7230,-12.8,0.0
7245,-12.7,0.0
7260,-12.8,0.0
7275,-12.8,0.0
7290,-12.8,0.0
7305,-12.8,0.0
7320,-12.7,0.0
7335,-12.8,0.0
7350,-12.7,0.0
7365,-12.6,0.0
7380,-12.6,0.0
7395,-12.6,0.0
7410,-12.6,0.0
7425,-12.6,0.0
7440,-12.6,0.0
7455,-12.6,0.0
7470,-12.6,0.0
7485,-12.8,0.0
7500,-13.2,0.0
7515,-13.4,0.0
7530,19.5,35.4
7545,112.0,129.0
7560,192.0,208.0
7575,186.0,201.0
7590,258.0,275.0
7605,423.0,443.0
7620,575.0,598.0
7635,973.0,988.0
7650,1315.0,1335.0
7665,1577.0,1599.0
7680,1857.0,1880.0
7695,2141.0,2169.0
7710,2431.0,2456.0
7725,2673.0,2717.0
7740,2782.0,2807.0
7755,3194.0,3236.0
7770,3062.0,3112.0
7785,2826.0,2881.0
7800,3627.0,3667.0
7815,3099.0,3144.0
7830,3358.0,3376.0
7845,4136.0,4198.0
7860,4158.0,4257.0
7875,4071.0,4131.0
7890,4218.0,4234.0
7905,3240.0,3240.0
7920,3676.0,3668.0
7935,3458.0,3486.0
7950,3368.0,3407.0
7965,3055.0,3063.0
7980,2734.0,2796.0
7995,2868.0,2953.0
8010,2552.0,2610.0
8025,2867.0,2902.0
