time,measured,inverted
0,-12.7,0.0
15,-12.1,0.0
30,-11.8,0.0
45,-11.1,0.0
60,-10.4,0.0
75,-9.71,0.0
90,-9.76,0.0
105,-9.69,0.0
120,-9.66,0.0
135,-9.7,0.0
150,-9.74,0.0
165,-9.75,0.0
180,-9.71,0.0
195,-9.72,0.0
210,-9.78,0.0
225,-9.75,0.0
240,-9.73,0.0
255,-9.76,0.0
270,-9.72,0.0
285,-9.79,0.0
300,-9.77,0.0
315,-9.97,0.0
330,-10.3,0.0
345,-3.18,9.25
360,34.5,48.8
375,86.5,99.8
390,163.0,175.0
405,293.0,305.0
420,487.0,500.0
435,756.0,755.0
450,1054.0,1069.0
465,1365.0,1383.0
480,1662.0,1702.0
495,2008.0,2023.0
510,2318.0,2335.0
525,2599.0,2622.0
540,2880.0,2904.0
555,3134.0,3163.0
570,3360.0,3395.0
585,3581.0,3625.0
600,3787.0,3834.0
615,3951.0,4000.0
630,4100.0,4153.0
645,4254.0,4310.0
660,4381.0,4438.0
675,4495.0,4553.0
690,4545.0,4604.0
705,4591.0,4655.0
720,4599.0,4666.0
735,4383.0,4156.0
750,4513.0,4640.0
765,3568.0,3916.0
780,4644.0,4702.0
795,4549.0,4505.0
810,4104.0,4187.0
825,4497.0,4562.0
840,4453.0,4513.0
855,4323.0,4387.0
870,3927.0,3959.0
885,3561.0,3635.0
900,3250.0,3320.0
915,3214.0,3283.0
930,3500.0,3557.0
945,3145.0,3174.0
960,2879.0,2912.0
975,2545.0,2586.0
990,2388.0,2417.0
1005,2231.0,2252.0
1020,2061.0,2080.0
1035,1685.0,1709.0
1050,1444.0,1468.0
1065,1123.0,1146.0
1080,826.0,852.0
1095,575.0,598.0
1110,362.0,380.0
1125,162.0,182.0
1140,73.6,94.5
1155,41.4,61.5
1170,11.3,30.4
1185,-14.3,1.56
1200,-14.3,0.0
1215,-13.9,0.0
1230,-13.5,0.0
1245,-13.5,0.0
1260,-13.6,0.0
1275,-13.7,0.0
1290,-13.6,0.0
1305,-13.7,0.0
1320,-13.6,0.0
1335,-13.8,0.0
1350,-13.7,0.0
1365,-13.7,0.0
1380,-13.8,0.0
1395,-13.8,0.0
1410,-13.9,0.0
1425,-13.8,0.0
1440,-13.8,0.0
1455,-13.8,0.0
1470,-13.8,0.0
1485,-13.8,0.0
1500,-13.9,0.0
1515,-13.8,0.0
1530,-13.9,0.0
1545,-13.9,0.0
1560,-13.9,0.0
1575,-13.9,0.0
1590,-13.8,0.0
1605,-13.8,0.0
1620,-13.8,0.0
1635,-13.9,0.0
1650,-13.8,0.0
1665,-13.9,0.0
1680,-13.8,0.0
1695,-13.8,0.0
1710,-13.8,0.0
1725,-13.8,0.0
1740,-13.8,0.0
1755,-14.0,0.0
1770,-14.3,0.0
1785,-14.4,0.0
1800,15.7,31.7
1815,104.0,120.0
1830,250.0,266.0
1845,416.0,431.0
1860,674.0,673.0
1875,1156.0,1200.0
1890,680.0,700.0
1905,386.0,400.0
1920,560.0,572.0
1935,657.0,668.0
1950,1438.0,1419.0
1965,2219.0,2105.0
1980,2727.0,2748.0
1995,2673.0,2607.0
2010,2269.0,2350.0
2025,3523.0,3570.0
2040,3646.0,3702.0
2055,2803.0,2711.0
2070,3020.0,3276.0
2085,4168.0,4257.0
2100,4294.0,4351.0
2115,4373.0,4420.0
2130,4328.0,4370.0
2145,4326.0,4354.0
