time,measured,inverted
0,-18.8,0.0
15,-17.1,0.0
30,-17.7,0.0
45,-17.7,0.0
60,-18.2,0.0
75,-17.8,0.0
90,-17.6,0.0
105,-17.3,0.0
120,-16.9,0.0
135,-17.2,0.0
150,-16.6,0.0
165,-17.4,0.0
180,-16.8,0.0
195,-16.8,0.0
210,-17.3,0.0
225,-16.4,0.0
240,-17.4,0.0
255,-16.9,0.0
270,-16.9,0.0
285,-17.9,0.0
300,-17.3,0.0
315,-18.1,0.0
330,-17.4,0.0
345,-17.1,0.0
360,-17.5,0.0
375,-18.0,0.0
390,-18.4,0.0
405,-19.6,0.0
420,-21.3,0.0
435,-20.6,0.0
450,8.2,33.5
465,90.8,117.0
480,186.0,214.0
495,314.0,342.0
510,497.0,536.0
525,1121.0,1146.0
540,654.0,693.0
555,946.0,988.0
570,1697.0,1745.0
585,1723.0,1790.0
600,2875.0,3283.0
615,1842.0,1963.0
630,1897.0,2011.0
645,2678.0,2375.0
660,2615.0,2919.0
675,3307.0,3207.0
690,2000.0,2054.0
705,3795.0,4141.0
720,2563.0,2830.0
735,2680.0,2846.0
750,2789.0,2929.0
765,3085.0,3165.0
780,2909.0,3020.0
795,1951.0,2056.0
810,1748.0,1840.0
825,3289.0,3293.0
840,3597.0,3749.0
855,3138.0,3255.0
870,2021.0,2243.0
885,2812.0,2938.0
900,2613.0,2680.0
915,2317.0,2415.0
930,2115.0,2206.0
945,1989.0,2089.0
960,1501.0,1572.0
975,1077.0,1133.0
990,793.0,840.0
1005,559.0,605.0
1020,335.0,373.0
1035,154.0,185.0
1050,22.4,53.2
1065,-21.7,7.83
1080,-27.2,0.0
1095,-29.1,0.0
1110,-26.2,0.0
1125,-27.3,0.0
1140,-26.4,0.0
1155,-28.1,0.0
1170,-27.4,0.0
1185,-27.6,0.0
1200,-29.4,0.0
1215,-28.9,0.0
1230,-28.2,0.0
1245,-28.6,0.0
1260,-27.5,0.0
1275,-27.4,0.0
1290,-27.6,0.0
1305,-27.4,0.0
1320,-25.7,0.0
1335,-26.4,0.0
1350,-26.6,0.0
1365,-26.4,0.0
1380,-26.8,0.0
1395,-25.3,0.0
1410,-25.5,0.0
1425,-25.1,0.0
1440,-24.3,0.0
1455,-24.3,0.0
1470,-23.1,0.0
1485,-23.6,0.0
1500,-23.1,0.0
1515,-22.6,0.0
1530,-23.0,0.0
1545,-22.1,0.0
1560,-22.4,0.0
1575,-22.0,0.0
1590,-22.9,0.0
1605,-22.0,0.0
1620,-21.9,0.0
1635,-21.9,0.0
1650,-22.1,0.0
1665,-22.1,0.0
1680,-21.7,0.0
1695,-22.5,0.0
1710,-23.2,0.0
1725,-22.9,0.0
1740,-22.4,0.0
1755,-22.8,0.0
1770,-23.2,0.0
1785,-23.3,0.0
1800,-24.3,0.0
1815,-25.0,0.0
1830,-24.1,0.0
1845,-24.9,0.0
1860,-24.3,0.0
1875,-12.9,12.0
1890,29.0,56.5
1905,76.0,104.0
1920,142.0,172.0
1935,202.0,233.0
1950,318.0,348.0
1965,465.0,514.0
1980,587.0,637.0
1995,1093.0,1131.0
2010,1038.0,1114.0
2025,1289.0,1386.0
