time,measured,inverted
0,-13.5,0.0
15,-13.5,0.0
30,-13.6,0.0
45,-13.6,0.0
60,-13.6,0.0
75,-13.7,0.0
90,-13.6,0.0
105,-13.5,0.0
120,-13.6,0.0
135,-13.5,0.0
150,-13.7,0.0
165,-13.7,0.0
180,-13.8,0.0
195,-13.7,0.0
210,-13.8,0.0
225,-13.8,0.0
240,-13.8,0.0
255,-13.6,0.0
270,-13.4,0.0
285,-13.2,0.0
300,-12.9,0.0
315,-12.8,0.0
330,-13.0,0.0
345,-13.1,0.0
360,-12.8,0.0
375,-13.0,0.0
390,-12.9,0.672
405,14.8,30.9
420,101.0,116.0
435,254.0,269.0
450,410.0,425.0
465,617.0,643.0
480,1089.0,1105.0
495,1387.0,1399.0
510,1695.0,1710.0
525,2046.0,2068.0
540,2319.0,2344.0
555,2586.0,2615.0
570,2841.0,2897.0
585,3156.0,3211.0
600,2987.0,3031.0
615,3345.0,3385.0
630,3454.0,3511.0
645,3181.0,3209.0
660,3374.0,3405.0
675,3826.0,3875.0
690,3864.0,3915.0
705,3314.0,3406.0
720,3906.0,3988.0
735,3619.0,3735.0
750,3839.0,4014.0
765,3420.0,3436.0
780,3774.0,3822.0
795,3399.0,3531.0
810,3484.0,3614.0
825,3188.0,3217.0
840,2869.0,2934.0
855,2606.0,2628.0
870,2648.0,2718.0
885,2075.0,2206.0
900,2123.0,2041.0
915,1627.0,1646.0
930,1358.0,1349.0
945,1704.0,1783.0
960,911.0,935.0
975,598.0,625.0
990,484.0,511.0
1005,521.0,545.0
1020,652.0,677.0
1035,419.0,441.0
1050,422.0,443.0
1065,301.0,320.0
1080,170.0,188.0
1095,59.1,79.7
1110,2.26,20.1
1125,-14.2,0.6559999999999999
1140,-13.3,0.0
1155,-12.9,0.0
1170,-13.1,0.0
1185,-13.3,0.0
1200,-13.4,0.0
1215,-13.3,0.0
1230,-13.4,0.0
1245,-13.4,0.0
1260,-13.4,0.0
1275,-13.4,0.0
1290,-13.5,0.0
1305,-13.5,0.0
1320,-13.6,0.0
1335,-13.6,0.0
1350,-13.5,0.0
1365,-13.6,0.0
1380,-13.5,0.0
1395,-13.6,0.0
1410,-13.5,0.0
1425,-13.6,0.0
1440,-13.6,0.0
1455,-13.5,0.0
1470,-13.6,0.0
1485,-13.4,0.0
1500,-13.4,0.0
1515,-13.5,0.0
1530,-13.6,0.0
1545,-13.5,0.0
1560,-13.4,0.0
1575,-13.4,0.0
1590,-13.4,0.0
1605,-13.5,0.0
1620,-13.4,0.0
1635,-13.5,0.0
1650,-13.5,0.0
1665,-13.4,0.0
1680,-13.3,0.0
1695,-13.3,0.0
1710,-13.2,0.0
1725,-13.3,0.0
1740,-13.4,0.0
1755,-13.4,0.0
1770,-13.5,0.0
1785,-13.5,0.0
1800,-13.4,0.0
1815,-13.5,0.0
1830,-14.0,0.0
1845,-14.1,0.0
1860,22.7,38.4
1875,135.0,151.0
1890,213.0,228.0
1905,266.0,281.0
1920,424.0,439.0
1935,689.0,724.0
1950,988.0,991.0
1965,987.0,951.0
1980,1370.0,1455.0
1995,1985.0,1957.0
2010,2136.0,2128.0
2025,2135.0,2138.0
2040,1307.0,1335.0
2055,669.0,680.0
2070,1084.0,1099.0
2085,785.0,817.0
2100,1028.0,1050.0
2115,1094.0,1097.0
2130,1218.0,1222.0
2145,899.0,910.0
2160,848.0,879.0
2175,872.0,892.0
2190,1465.0,1512.0
2205,2467.0,2401.0
2220,2516.0,2534.0
2235,945.0,974.0
2250,1195.0,1218.0
2265,2064.0,2077.0
2280,2478.0,2385.0
2295,1862.0,1897.0
2310,3668.0,3794.0
2325,3298.0,3352.0
2340,3061.0,3075.0
2355,2191.0,2296.0
2370,2392.0,2408.0
2385,1239.0,1325.0
2400,1463.0,1360.0
2415,1149.0,1214.0
2430,1223.0,1294.0
2445,1042.0,1066.0
2460,842.0,835.0
2475,794.0,808.0
2490,616.0,635.0
2505,269.0,287.0
2520,94.4,113.0
2535,18.8,37.6
2550,-11.4,5.14
2565,-13.8,0.0
2580,-13.7,0.0
2595,-13.7,0.0
2610,-13.7,0.0
2625,-13.6,0.0
2640,-13.6,0.0
2655,-13.5,0.0
2670,-13.6,0.0
2685,-13.6,0.0
2700,-13.6,0.0
2715,-13.8,0.0
2730,-13.8,0.0
2745,-13.9,0.0
2760,-14.0,0.0
2775,-13.7,0.0
2790,-13.8,0.0
2805,-13.9,0.0
2820,-13.9,0.0
2835,-13.9,0.0
2850,-13.9,0.0
2865,-13.8,0.0
2880,-13.9,0.0
2895,-13.9,0.0
2910,-13.9,0.0
2925,-13.9,0.0
2940,-13.9,0.0
2955,-13.8,0.0
2970,-13.8,0.0
2985,-13.8,0.0
3000,-13.9,0.0
3015,-13.8,0.0
3030,-13.9,0.0
3045,-13.9,0.0
3060,-13.8,0.0
3075,-13.8,0.0
3090,-13.9,0.0
3105,-13.8,0.0
3120,-13.8,0.0
3135,-13.8,0.0
3150,-13.7,0.0
3165,-13.7,0.0
3180,-13.8,0.0
3195,-13.9,0.0
3210,-13.8,0.0
3225,-13.9,0.0
3240,-13.8,0.0
3255,-14.0,0.0
3270,-14.4,0.0
3285,-13.8,0.8140000000000001
3300,35.5,52.8
3315,163.0,179.0
3330,382.0,398.0
3345,626.0,653.0
3360,933.0,956.0
3375,1262.0,1285.0
3390,1591.0,1614.0
