time,measured,inverted
0,-13.0,0.0
15,-13.1,0.0
30,-13.0,0.0
45,-12.7,0.0
60,-12.6,0.0
75,-12.7,0.0
90,-12.8,0.0
105,-12.7,0.0
120,-12.5,0.0
135,-12.6,0.0
150,-12.6,0.0
165,-12.6,0.0
180,-12.7,0.0
195,-12.8,0.0
210,-12.7,0.0
225,-12.6,0.0
240,-12.7,0.0
255,-12.8,0.0
270,-12.7,0.0
285,-12.8,0.0
300,-12.1,0.0
315,-11.5,0.0
330,-11.1,0.0
345,-10.4,0.0
360,-10.5,0.0
375,-10.4,0.49200000000000005
390,36.9,51.0
405,136.0,149.0
420,259.0,271.0
435,347.0,359.0
450,482.0,494.0
465,650.0,661.0
480,846.0,861.0
495,943.0,954.0
510,1090.0,1095.0
525,1647.0,1661.0
540,2182.0,2213.0
555,2478.0,2472.0
570,2087.0,2098.0
585,2388.0,2413.0
600,2618.0,2666.0
615,2471.0,2478.0
630,2968.0,3002.0
645,3284.0,3323.0
660,3652.0,3649.0
675,3817.0,3825.0
690,3661.0,3697.0
705,4119.0,4172.0
720,4369.0,4402.0
735,4127.0,4165.0
750,4462.0,4495.0
765,4580.0,4565.0
780,4421.0,4425.0
795,4506.0,4517.0
810,4653.0,4707.0
825,4244.0,4265.0
840,3746.0,3776.0
855,3146.0,3176.0
870,3310.0,3338.0
885,3363.0,3415.0
900,3691.0,3701.0
915,3998.0,4052.0
930,3772.0,3831.0
945,2814.0,2888.0
960,2817.0,2864.0
975,2213.0,2193.0
990,1798.0,1820.0
1005,2464.0,2489.0
1020,2318.0,2308.0
1035,2250.0,2285.0
1050,1858.0,1866.0
1065,1562.0,1589.0
1080,1138.0,1150.0
1095,736.0,753.0
1110,480.0,497.0
1125,236.0,252.0
1140,91.3,109.0
1155,3.92,21.3
1170,-14.7,0.0
1185,-13.9,0.0
1200,-13.5,0.0
1215,-13.6,0.0
1230,-13.7,0.0
1245,-13.7,0.0
1260,-13.7,0.0
1275,-13.8,0.0
1290,-13.7,0.0
1305,-13.8,0.0
1320,-13.9,0.0
1335,-13.7,0.0
1350,-13.7,0.0
1365,-13.6,0.0
1380,-13.7,0.0
1395,-13.7,0.0
1410,-13.7,0.0
1425,-13.7,0.0
1440,-13.7,0.0
1455,-13.7,0.0
1470,-13.7,0.0
1485,-13.6,0.0
1500,-13.0,0.0
1515,-12.7,0.0
1530,-11.9,0.0
1545,-11.7,0.0
1560,-11.4,0.0
1575,-10.9,0.0
1590,-10.7,0.0
1605,-9.99,0.0
1620,-9.82,0.0
1635,-9.91,0.0
1650,-9.9,0.0
1665,-9.9,0.0
1680,-9.91,0.0
1695,-9.92,0.0
1710,-9.83,0.0
1725,-9.92,0.0
1740,-9.83,0.0
1755,-9.91,0.0
1770,-9.88,0.0
1785,-10.1,0.0
1800,-10.5,0.0
1815,-4.78,7.32
1830,33.8,47.6
1845,110.0,123.0
1860,271.0,284.0
1875,499.0,512.0
1890,792.0,802.0
1905,1124.0,1148.0
1920,1491.0,1503.0
1935,1865.0,1878.0
1950,2228.0,2242.0
1965,2545.0,2562.0
1980,2818.0,2839.0
1995,3017.0,3041.0
2010,3378.0,3406.0
2025,3656.0,3688.0
2040,3869.0,3913.0
2055,3996.0,4041.0
2070,4122.0,4169.0
2085,4221.0,4267.0
2100,4524.0,4577.0
2115,4653.0,4708.0
2130,4656.0,4712.0
2145,4653.0,4707.0
2160,4620.0,4689.0
2175,4621.0,4692.0
2190,4651.0,4708.0
2205,4652.0,4709.0
2220,4653.0,4711.0
2235,4652.0,4711.0
2250,4652.0,4710.0
2265,4650.0,4711.0
2280,4623.0,4684.0
2295,4509.0,4569.0
2310,4376.0,4433.0
2325,4228.0,4283.0
2340,4034.0,4086.0
2355,3874.0,3925.0
2370,3673.0,3721.0
2385,3473.0,3516.0
2400,3251.0,3289.0
2415,2963.0,3077.0
2430,2575.0,2578.0
2445,2319.0,2346.0
2460,1993.0,2020.0
2475,1697.0,1719.0
2490,1425.0,1443.0
2505,933.0,954.0
2520,608.0,627.0
2535,372.0,392.0
2550,236.0,255.0
2565,136.0,155.0
2580,42.1,60.8
2595,-0.5770000000000001,17.0
2610,-14.2,0.0
2625,-13.4,0.0
2640,-13.1,0.0
2655,-13.4,0.0
2670,-13.5,0.0
2685,-13.5,0.0
2700,-13.5,0.0
2715,-13.5,0.0
2730,-13.5,0.0
2745,-13.5,0.0
2760,-13.6,0.0
2775,-13.6,0.0
