time,measured,inverted
2019-04-19 00:00:00,-10.1,0
2019-04-19 00:15:00,-10.1,0
2019-04-19 00:30:00,-9.94,0
2019-04-19 00:45:00,-10,0
2019-04-19 01:00:00,-9.93,0
2019-04-19 01:15:00,-9.96,0
2019-04-19 01:30:00,-9.94,0
2019-04-19 01:45:00,-9.9,0
2019-04-19 02:00:00,-9.99,0
2019-04-19 02:15:00,-9.97,0
2019-04-19 02:30:00,-9.99,0
2019-04-19 02:45:00,-9.93,0
2019-04-19 03:00:00,-9.91,0
2019-04-19 03:15:00,-9.98,0
2019-04-19 03:30:00,-9.92,0
2019-04-19 03:45:00,-9.92,0
2019-04-19 04:00:00,-12.4,0
2019-04-19 04:15:00,-9.91,0
2019-04-19 04:30:00,-9.9,0
2019-04-19 04:45:00,-13,0
2019-04-19 05:00:00,-13.8,0
2019-04-19 05:15:00,-11.5,0
2019-04-19 05:30:00,-11.9,0
2019-04-19 05:45:00,-13.3,0
2019-04-19 06:00:00,-9.35,2.19
2019-04-19 06:15:00,17.1,32.3
2019-04-19 06:30:00,49.6,63.8
2019-04-19 06:45:00,178,192
2019-04-19 07:00:00,313,327
2019-04-19 07:15:00,524,536
2019-04-19 07:30:00,618,632
2019-04-19 07:45:00,495,510
2019-04-19 08:00:00,392,405
2019-04-19 08:15:00,455,470
2019-04-19 08:30:00,498,510
2019-04-19 08:45:00,518,531
2019-04-19 09:00:00,513,525
2019-04-19 09:15:00,592,607
2019-04-19 09:30:00,667,670
2019-04-19 09:45:00,833,850
2019-04-19 10:00:00,1076,1093
2019-04-19 10:15:00,1057,1067
2019-04-19 10:30:00,1248,1267
2019-04-19 10:45:00,921,934
2019-04-19 11:00:00,988,1001
2019-04-19 11:15:00,2294,2303
2019-04-19 11:30:00,2751,2852
2019-04-19 11:45:00,2371,2390
2019-04-19 12:00:00,1141,1158
2019-04-19 12:15:00,1192,1206
2019-04-19 12:30:00,1501,1516
2019-04-19 12:45:00,1677,1692
2019-04-19 13:00:00,1511,1525
2019-04-19 13:15:00,1227,1239
2019-04-19 13:30:00,1567,1585
2019-04-19 13:45:00,1476,1491
2019-04-19 14:00:00,1065,1079
2019-04-19 14:15:00,1421,1438
2019-04-19 14:30:00,1324,1342
2019-04-19 14:45:00,1844,1870
2019-04-19 15:00:00,2493,2554
2019-04-19 15:15:00,2337,2274
2019-04-19 15:30:00,2143,2006
2019-04-19 15:45:00,2835,2825
2019-04-19 16:00:00,3314,3225
2019-04-19 16:15:00,2713,2540
2019-04-19 16:30:00,2547,2591
2019-04-19 16:45:00,1744,1744
2019-04-19 17:00:00,1733,1921
2019-04-19 17:15:00,1380,1521
2019-04-19 17:30:00,1881,1838
2019-04-19 17:45:00,1553,1571
2019-04-19 18:00:00,1014,1029
2019-04-19 18:15:00,610,621
2019-04-19 18:30:00,408,421
2019-04-19 18:45:00,187,199
2019-04-19 19:00:00,85.2,99.1
2019-04-19 19:15:00,26.7,41.6
2019-04-19 19:30:00,-0.343,13.4
2019-04-19 19:45:00,-10.8,0
2019-04-19 20:00:00,-10.8,0
2019-04-19 20:15:00,-10.6,0
2019-04-19 20:30:00,-9.95,0
2019-04-19 20:45:00,-10,0
2019-04-19 21:00:00,-10,0
2019-04-19 21:15:00,-10,0
2019-04-19 21:30:00,-10,0
2019-04-19 21:45:00,-10.1,0
2019-04-19 22:00:00,-10.1,0
2019-04-19 22:15:00,-10.1,0
2019-04-19 22:30:00,-10.1,0
2019-04-19 22:45:00,-10.1,0
2019-04-19 23:00:00,-10.1,0
2019-04-19 23:15:00,-10.1,0
2019-04-19 23:30:00,-10.1,0
2019-04-19 23:45:00,-10.1,0
2016-03-17 00:00:00,-18,0
2016-03-17 00:15:00,-18.2,0
2016-03-17 00:30:00,-17.3,0
2016-03-17 00:45:00,-16.6,0
2016-03-17 01:00:00,-16.7,0
2016-03-17 01:15:00,-16.8,0
2016-03-17 01:30:00,-17.4,0
2016-03-17 01:45:00,-16.2,0
2016-03-17 02:00:00,-16.2,0
