time,measured,inverted
2018-01-30 10:30:00,-12.4,0.0
2018-01-30 10:45:00,289.0,321.0
2018-01-30 11:00:00,1471.0,1439.0
2018-01-30 11:15:00,2579.0,2589.0
2018-01-30 11:30:00,2928.0,2945.0
2018-01-30 11:45:00,3150.0,3189.0
2018-01-30 12:00:00,4427.0,4466.0
2018-01-30 12:15:00,4441.0,4483.0
2018-01-30 12:30:00,4379.0,4420.0
2018-01-30 12:45:00,4323.0,4365.0
2018-01-30 13:00:00,4243.0,4286.0
2018-01-30 13:15:00,4120.0,4162.0
2018-01-30 13:30:00,3983.0,4026.0
2018-01-30 13:45:00,3810.0,3849.0
2018-01-30 14:00:00,3615.0,3652.0
2018-01-30 14:15:00,3387.0,3419.0
2018-01-30 14:30:00,3098.0,3127.0
2018-01-30 14:45:00,2679.0,2703.0
2018-01-30 15:00:00,2212.0,2233.0
2018-01-30 15:15:00,1751.0,1767.0
2018-01-30 15:30:00,1329.0,1375.0
2018-01-30 15:45:00,1138.0,1153.0
2018-01-30 16:00:00,905.0,913.0
2018-01-30 16:15:00,357.0,368.0
2018-01-30 16:30:00,120.0,239.0
2018-01-30 16:45:00,22.9,114.0
2018-01-31 03:00:00,-14.7,0.0
2018-01-31 03:15:00,-11.6,0.0
2018-01-31 03:30:00,-12.4,0.0
2018-01-31 03:45:00,-12.5,0.0
2018-01-31 04:00:00,-18.3,0.0
2018-01-31 04:15:00,-14.1,0.0
2018-01-31 04:30:00,-15.7,0.0
2018-01-31 04:45:00,-13.1,0.0
2018-01-31 05:00:00,-13.9,0.0
2018-01-31 05:15:00,-14.7,0.0
2018-01-31 05:30:00,-16.0,0.0
2018-01-31 05:45:00,-11.1,0.0
2018-01-31 06:00:00,-16.3,0.0
2018-01-31 06:15:00,-13.7,0.0
2018-01-31 06:30:00,-13.3,0.0
2018-01-31 06:45:00,-13.1,0.0
2018-01-31 07:00:00,-6.44,9.75
2018-01-31 07:15:00,34.1,49.8
2018-01-31 07:30:00,95.0,110.0
2018-01-31 07:45:00,167.0,179.0
2018-01-31 08:00:00,246.0,258.0
2018-01-31 08:15:00,329.0,341.0
2018-01-31 08:30:00,399.0,412.0
2018-01-31 08:45:00,387.0,399.0
2018-01-31 09:00:00,505.0,518.0
2018-01-31 09:15:00,715.0,728.0
2018-01-31 09:30:00,851.0,864.0
2018-01-31 09:45:00,882.0,895.0
2018-01-31 10:00:00,800.0,810.0
2018-01-31 10:15:00,738.0,749.0
2018-01-31 10:30:00,791.0,802.0
2018-01-31 10:45:00,836.0,845.0
2018-01-31 11:00:00,934.0,944.0
2018-01-31 11:15:00,748.0,759.0
2018-01-31 11:30:00,842.0,856.0
2018-01-31 11:45:00,1491.0,1506.0
2018-01-31 12:00:00,1363.0,1369.0
2018-01-31 12:15:00,1948.0,1948.0
2018-01-31 12:30:00,2167.0,2145.0
2018-01-31 12:45:00,1570.0,1587.0
2018-01-31 13:00:00,1353.0,1364.0
2018-01-31 13:15:00,1385.0,1398.0
2018-01-31 13:30:00,1117.0,1127.0
2018-01-31 13:45:00,1158.0,1168.0
2018-01-31 14:00:00,1220.0,1234.0
2018-01-31 14:15:00,1239.0,1254.0
2018-01-31 14:30:00,1090.0,1107.0
2018-01-31 14:45:00,1525.0,1557.0
2018-01-31 15:00:00,914.0,915.0
2018-01-31 15:15:00,527.0,539.0
2018-01-31 15:30:00,445.0,456.0
2018-01-31 15:45:00,381.0,391.0
2018-01-31 16:00:00,275.0,286.0
2018-01-31 16:15:00,204.0,215.0
2018-01-31 16:30:00,87.5,101.0
2018-01-31 16:45:00,66.4,81.5
