time,measured,inverted
0,-22.1,0.0
15,-20.8,0.0
30,-20.5,0.0
45,-20.4,0.0
60,-19.8,0.0
75,-20.2,0.0
90,-19.5,0.0
105,-18.7,0.0
120,-18.2,0.0
135,-18.4,0.0
150,-19.7,0.0
165,-18.8,0.0
180,-17.8,0.0
195,-19.0,0.0
210,-18.9,0.0
225,-17.9,0.0
240,-23.0,0.0
255,-18.6,0.0
270,-19.2,0.0
285,-19.0,0.0
300,-18.1,0.0
315,-15.6,0.0
330,-19.3,0.0
345,-19.2,0.0
360,-27.3,0.0
375,-21.0,0.0
390,-24.5,0.0
405,-26.6,0.0
420,-19.7,6.17
435,0.038,26.0
450,72.0,100.0
465,174.0,205.0
480,409.0,446.0
495,501.0,548.0
510,430.0,466.0
525,617.0,664.0
540,667.0,709.0
555,801.0,848.0
570,966.0,1014.0
585,1075.0,1124.0
600,2787.0,2735.0
615,2321.0,2279.0
630,1658.0,1641.0
645,1079.0,1136.0
660,1831.0,1912.0
675,3571.0,3776.0
690,4141.0,4282.0
705,4133.0,4278.0
720,4149.0,4295.0
735,4128.0,4275.0
750,4080.0,4224.0
765,4008.0,4152.0
780,3953.0,4093.0
795,3857.0,3997.0
810,3727.0,3863.0
825,3578.0,3699.0
840,3438.0,3566.0
855,3223.0,3341.0
870,2985.0,3099.0
885,2650.0,2751.0
900,2225.0,2316.0
915,1780.0,1858.0
930,1364.0,1431.0
945,1089.0,1146.0
960,829.0,878.0
975,535.0,573.0
990,240.0,269.0
1005,70.6,95.7
1020,7.51,32.4
1035,-17.7,4.1
1050,-22.3,0.0
1065,-25.5,0.0
1080,-25.3,0.0
1095,-23.6,0.0
1110,-25.3,0.0
1125,-28.0,0.0
1140,-23.7,0.0
1155,-24.3,0.0
1170,-23.2,0.0
1185,-24.4,0.0
1200,-22.2,0.0
1215,-22.9,0.0
1230,-22.2,0.0
1245,-24.7,0.0
1260,-23.8,0.0
1275,-23.2,0.0
1290,-25.2,0.0
1305,-23.9,0.0
1320,-25.9,0.0
1335,-23.1,0.0
1350,-25.8,0.0
1365,-24.3,0.0
1380,-24.2,0.0
1395,-24.9,0.0
1410,-22.7,0.0
1425,-21.7,0.0
1440,-22.2,0.0
1455,-22.0,0.0
1470,-21.8,0.0
1485,-21.8,0.0
1500,-20.4,0.0
1515,-19.9,0.0
1530,-20.3,0.0
1545,-20.5,0.0
1560,-19.6,0.0
1575,-19.2,0.0
1590,-18.3,0.0
1605,-18.0,0.0
1620,-18.8,0.0
1635,-19.3,0.0
1650,-18.0,0.0
1665,-18.6,0.0
1680,-22.0,0.0
1695,-18.5,0.0
1710,-19.4,0.0
1725,-20.2,0.0
1740,-18.5,0.0
1755,-15.2,0.0
1770,-19.6,0.0
1785,-19.0,0.0
1800,-25.1,0.0
1815,-25.1,0.0
1830,-23.3,0.0
1845,-26.4,0.0
1860,-23.0,3.7
1875,19.2,47.2
1890,20.5,48.1
1905,2.37,26.4
1920,80.5,109.0
1935,159.0,190.0
1950,69.5,99.5
1965,37.5,65.9
1980,165.0,195.0
1995,135.0,165.0
2010,78.9,106.0
2025,185.0,224.0
2040,180.0,220.0
2055,172.0,212.0
2070,167.0,199.0
2085,155.0,189.0
2100,218.0,254.0
2115,213.0,240.0
2130,256.0,295.0
2145,275.0,307.0
2160,278.0,315.0
2175,268.0,300.0
2190,319.0,357.0
2205,295.0,328.0
2220,308.0,337.0
2235,221.0,248.0
2250,234.0,271.0
2265,140.0,170.0
2280,139.0,166.0
2295,108.0,133.0
2310,97.5,122.0
2325,89.9,114.0
2340,155.0,180.0
2355,164.0,185.0
2370,105.0,131.0
2385,200.0,234.0
2400,166.0,203.0
2415,69.2,89.9
2430,56.2,85.8
2445,55.7,83.3
2460,-12.0,11.7
2475,-21.8,0.0
2490,-23.4,0.0
2505,-23.2,0.0
2520,-23.1,0.0
2535,-21.6,0.0
2550,-24.5,0.0
2565,-23.2,0.0
2580,-24.1,0.0
2595,-24.2,0.0
2610,-25.5,0.0
2625,-25.3,0.0
2640,-24.5,0.0
2655,-23.9,0.0
2670,-22.6,0.0
2685,-25.2,0.0
2700,-26.5,0.0
2715,-25.9,0.0
2730,-24.8,0.0
2745,-23.7,0.0
2760,-24.8,0.0
2775,-25.0,0.0
2790,-22.8,0.0
2805,-23.0,0.0
2820,-23.7,0.0
2835,-22.5,0.0
2850,-22.7,0.0
2865,-22.3,0.0
2880,-22.1,0.0
2895,-21.8,0.0
2910,-21.0,0.0
2925,-22.3,0.0
2940,-20.6,0.0
2955,-19.6,0.0
2970,-18.5,0.0
2985,-18.8,0.0
3000,-18.7,0.0
3015,-18.1,0.0
3030,-18.1,0.0
3045,-17.8,0.0
3060,-17.7,0.0
3075,-18.2,0.0
3090,-17.2,0.0
3105,-17.3,0.0
3120,-20.2,0.0
3135,-18.6,0.0
3150,-19.4,0.0
3165,-16.6,0.0
3180,-17.7,0.0
3195,-17.0,0.0
3210,-20.2,0.0
3225,-18.8,0.0
3240,-25.4,0.0
3255,-23.3,0.0
3270,-23.2,0.0
3285,-21.2,2.71
3300,30.0,58.5
3315,157.0,187.0
3330,393.0,429.0
3345,460.0,539.0
3360,218.0,248.0
3375,295.0,326.0
3390,317.0,354.0
3405,346.0,383.0
3420,325.0,356.0
3435,294.0,325.0
3450,303.0,335.0
3465,303.0,335.0
3480,231.0,261.0
3495,142.0,167.0
3510,135.0,164.0
3525,197.0,228.0
3540,160.0,190.0
3555,191.0,218.0
3570,227.0,253.0
3585,307.0,341.0
3600,365.0,389.0
3615,384.0,418.0
3630,360.0,386.0
3645,290.0,322.0
3660,308.0,335.0
3675,261.0,293.0
3690,303.0,330.0
3705,252.0,282.0
3720,369.0,401.0
3735,147.0,174.0
3750,120.0,149.0
3765,268.0,301.0
3780,363.0,389.0
3795,461.0,496.0
3810,314.0,346.0
3825,160.0,184.0
3840,75.7,105.0
3855,53.4,80.6
3870,22.7,45.7
3885,-5.58,19.9
3900,-24.3,2.89
3915,-30.0,0.067
3930,-32.7,0.0
3945,-32.4,0.0
3960,-31.1,0.0
3975,-32.0,0.0
3990,-30.0,0.0
4005,-30.7,0.0
4020,-29.1,0.0
4035,-30.1,0.0
4050,-28.4,0.0
4065,-31.1,0.0
4080,-30.2,0.0
4095,-31.5,0.0
4110,-30.5,0.0
4125,-32.8,0.0
4140,-26.8,0.0
4155,-29.6,0.0
4170,-28.6,0.0
4185,-29.1,0.0
4200,-28.8,0.0
4215,-27.7,0.0
