time,measured,inverted
0,-20.6,0.0
15,-20.6,0.0
30,-21.5,0.0
45,-22.1,0.0
60,-20.7,0.0
75,-21.1,0.0
90,-21.1,0.0
105,-21.2,0.0
120,-19.4,0.0
135,-20.2,0.0
150,-20.5,0.0
165,-20.6,0.0
180,-21.2,0.0
195,-20.6,0.0
210,-19.2,0.0
225,-20.2,0.0
240,-20.7,0.0
255,-20.3,0.0
270,-21.1,0.0
285,-20.9,0.0
300,-20.5,0.0
315,-19.2,0.0
330,-20.3,0.0
345,-20.5,0.0
360,-21.4,0.0
375,-23.1,0.0
390,-24.3,2.58
405,-15.5,9.0
420,65.5,92.6
435,12.0,38.7
450,36.3,65.8
465,254.0,288.0
480,472.0,512.0
495,374.0,421.0
510,255.0,291.0
525,1112.0,1191.0
540,1129.0,1134.0
555,1166.0,1231.0
570,1333.0,1343.0
585,2456.0,2483.0
600,4149.0,3995.0
615,4429.0,4272.0
630,1697.0,1980.0
645,1052.0,1109.0
660,953.0,1005.0
675,1404.0,1469.0
690,844.0,886.0
705,1401.0,1466.0
720,3087.0,2857.0
735,2547.0,2433.0
750,2927.0,3047.0
765,1412.0,1475.0
780,1317.0,1381.0
795,732.0,777.0
810,1047.0,1102.0
825,3091.0,3351.0
840,2433.0,2230.0
855,3442.0,3598.0
870,3619.0,3830.0
885,3366.0,3389.0
900,4298.0,4536.0
915,2375.0,2197.0
930,2100.0,2002.0
945,1453.0,1499.0
960,1736.0,1996.0
975,1355.0,1393.0
990,1803.0,1677.0
1005,1421.0,1500.0
1020,1692.0,1736.0
1035,1360.0,1499.0
1050,696.0,723.0
1065,623.0,727.0
1080,704.0,751.0
1095,336.0,372.0
1110,164.0,190.0
1125,121.0,146.0
1140,12.7,39.0
1155,-18.8,7.05
1170,-25.6,0.0
1185,-26.7,0.0
1200,-23.0,0.0
1215,-24.4,0.0
1230,-24.0,0.0
1245,-23.0,0.0
1260,-22.1,0.0
1275,-22.0,0.0
1290,-22.8,0.0
1305,-22.6,0.0
1320,-21.7,0.0
1335,-21.4,0.0
1350,-21.2,0.0
1365,-21.2,0.0
1380,-20.7,0.0
1395,-22.0,0.0
1410,-20.6,0.0
1425,-21.2,0.0
1440,-22.0,0.0
1455,-22.5,0.0
1470,-21.4,0.0
1485,-22.2,0.0
1500,-21.4,0.0
1515,-19.9,0.0
1530,-20.1,0.0
1545,-19.2,0.0
1560,-19.7,0.0
