time,measured,inverted
0,-21.7,0.0
15,-20.5,0.0
30,-22.4,0.0
45,-23.1,0.0
60,-21.7,0.0
75,-22.1,0.0
90,-21.8,0.0
105,-21.8,0.0
120,-23.5,0.0
135,-22.9,0.0
150,-22.2,0.0
165,-22.9,0.0
180,-22.9,0.0
195,-21.0,0.0
210,-22.6,0.0
225,-22.9,0.0
240,-21.6,0.0
255,-22.3,0.0
270,-21.6,0.0
285,-21.6,0.0
300,-22.5,0.0
315,-23.0,0.0
330,-19.6,2.09
345,2.49,27.3
360,22.2,46.3
375,90.7,116.0
390,160.0,187.0
405,274.0,304.0
420,384.0,418.0
435,481.0,517.0
450,600.0,640.0
465,691.0,735.0
480,781.0,825.0
495,905.0,953.0
510,970.0,1023.0
525,1141.0,1200.0
540,1307.0,1375.0
555,1436.0,1498.0
570,1714.0,1777.0
585,1794.0,1873.0
600,1517.0,1596.0
615,2133.0,2219.0
630,3353.0,3475.0
645,3745.0,3909.0
660,4145.0,4217.0
675,4256.0,4425.0
690,4064.0,4178.0
705,3925.0,4158.0
720,3801.0,3858.0
735,3950.0,4098.0
750,3285.0,3486.0
765,2332.0,2426.0
780,1867.0,1961.0
795,1952.0,2038.0
810,1806.0,1858.0
825,2679.0,2824.0
840,2900.0,2902.0
855,1524.0,1603.0
870,2637.0,2581.0
885,1855.0,1952.0
900,1966.0,2043.0
915,2727.0,2870.0
930,3764.0,3884.0
945,3249.0,3444.0
960,3125.0,3262.0
975,2926.0,3029.0
990,2526.0,2603.0
1005,1938.0,2003.0
1020,1215.0,1197.0
1035,1811.0,1889.0
1050,1509.0,1604.0
1065,1248.0,1324.0
1080,1128.0,1189.0
1095,779.0,832.0
1110,432.0,472.0
1125,323.0,369.0
1140,176.0,215.0
1155,98.8,134.0
1170,26.2,60.7
1185,10.9,40.0
1200,-15.0,11.0
1215,-21.9,0.0
1230,-22.2,0.0
1245,-27.3,0.0
1260,-26.6,0.0
1275,-32.3,0.0
1290,-28.2,0.0
1305,-27.3,0.0
1320,-26.0,0.0
1335,-24.6,0.0
1350,-26.1,0.0
1365,-23.6,0.0
1380,-25.0,0.0
1395,-25.5,0.0
1410,-27.8,0.0
1425,-29.5,0.0
1440,-28.8,0.0
1455,-29.4,0.0
1470,-27.8,0.0
1485,-27.1,0.0
1500,-26.3,0.0
1515,-27.4,0.0
1530,-26.3,0.0
1545,-26.9,0.0
1560,-20.2,0.0
1575,-20.9,0.0
1590,-22.5,0.0
1605,-21.7,0.0
1620,-22.6,0.0
1635,-22.7,0.0
1650,-22.5,0.0
1665,-23.1,0.0
1680,-22.4,0.0
1695,-23.3,0.0
1710,-22.5,0.0
1725,-23.2,0.0
1740,-21.9,0.0
1755,-24.0,0.0
1770,-22.5,0.03
1785,9.39,35.0
1800,86.0,111.0
1815,214.0,242.0
1830,344.0,376.0
1845,410.0,444.0
1860,523.0,558.0
1875,720.0,758.0
1890,811.0,863.0
1905,952.0,990.0
1920,897.0,946.0
1935,988.0,1040.0
1950,1059.0,1098.0
1965,1263.0,1290.0
1980,1974.0,2053.0
1995,1928.0,1999.0
2010,2066.0,2211.0
2025,1328.0,1393.0
2040,2641.0,2848.0
2055,2698.0,2835.0
2070,2971.0,3169.0
2085,2545.0,2635.0
2100,2463.0,2522.0
2115,3863.0,4072.0
2130,3659.0,3793.0
2145,3032.0,3124.0
2160,2668.0,2799.0
2175,2945.0,3008.0
2190,3136.0,3311.0
2205,3547.0,3565.0
2220,2613.0,2690.0
2235,2433.0,2528.0
2250,2435.0,2514.0
2265,2560.0,2673.0
2280,2654.0,2752.0
2295,2322.0,2443.0
2310,1778.0,1876.0
2325,1395.0,1442.0
2340,2320.0,2419.0
2355,3493.0,3582.0
2370,3327.0,3362.0
2385,2063.0,2086.0
2400,2140.0,2490.0
2415,1852.0,1825.0
2430,1757.0,1892.0
2445,1600.0,1646.0
2460,1151.0,1221.0
2475,1696.0,1677.0
2490,1839.0,1892.0
2505,1240.0,1331.0
2520,591.0,668.0
2535,456.0,529.0
2550,250.0,287.0
2565,142.0,174.0
2580,91.1,123.0
2595,65.1,97.2
2610,79.2,109.0
2625,19.3,41.0
2640,-15.2,10.9
2655,-23.6,0.0
2670,-23.0,0.0
2685,-24.5,0.0
2700,-24.7,0.0
2715,-24.5,0.0
2730,-24.9,0.0
2745,-22.0,0.0
2760,-20.4,0.0
2775,-20.5,0.0
2790,-24.1,0.0
2805,-22.7,0.0
2820,-22.8,0.0
2835,-25.4,0.0
2850,-23.5,0.0
2865,-24.1,0.0
2880,-20.7,0.0
2895,-22.9,0.0
2910,-22.4,0.0
2925,-20.2,0.0
2940,-20.3,0.0
2955,-22.5,0.0
2970,-22.0,0.0
2985,-19.8,0.0
3000,-21.4,0.0
3015,-19.1,0.0
3030,-19.9,0.0
3045,-20.4,0.0
3060,-21.7,0.0
3075,-19.1,0.0
3090,-19.3,0.0
3105,-21.3,0.0
3120,-20.5,0.0
3135,-21.5,0.0
3150,-20.7,0.0
3165,-20.2,0.0
3180,-20.3,0.0
3195,-19.7,0.0
3210,-20.2,0.0
3225,-11.8,9.72
3240,48.1,73.0
3255,164.0,191.0
3270,357.0,390.0
3285,536.0,575.0
3300,535.0,571.0
3315,425.0,461.0
3330,554.0,596.0
3345,715.0,761.0
3360,798.0,849.0
3375,1280.0,1346.0
3390,1967.0,2029.0
3405,858.0,992.0
3420,567.0,959.0
3435,1463.0,1694.0
3450,2045.0,2446.0
3465,3445.0,3562.0
3480,3898.0,4158.0
3495,1804.0,1882.0
3510,3268.0,3511.0
3525,3867.0,3995.0
3540,3929.0,4065.0
3555,4124.0,4270.0
3570,4050.0,4190.0
3585,4120.0,4259.0
3600,4059.0,4225.0
3615,4141.0,4294.0
3630,3388.0,3575.0
3645,4337.0,4410.0
3660,4282.0,4437.0
3675,3018.0,4157.0
3690,2541.0,2663.0
3705,2362.0,2639.0
3720,4292.0,4492.0
3735,3627.0,3681.0
3750,4156.0,4333.0
3765,3529.0,3798.0
3780,3544.0,3757.0
3795,2323.0,2493.0
3810,3374.0,3431.0
3825,2613.0,2668.0
3840,2752.0,2799.0
3855,2046.0,2131.0
3870,1867.0,1953.0
3885,1260.0,1344.0
3900,1686.0,1712.0
3915,1133.0,1186.0
3930,1102.0,1148.0
3945,658.0,732.0
3960,343.0,380.0
3975,201.0,240.0
3990,122.0,154.0
4005,75.7,110.0
4020,66.1,95.9
4035,45.5,72.5
4050,1.1,30.6
4065,-4.21,21.3
4080,-16.2,4.54
4095,-20.4,0.0
4110,-22.3,0.0
4125,-23.2,0.0
4140,-22.8,0.0
4155,-24.4,0.0
4170,-20.9,0.0
4185,-22.2,0.0
4200,-20.3,0.0
4215,-21.0,0.0
4230,-21.4,0.0
4245,-22.4,0.0
4260,-20.9,0.0
4275,-21.2,0.0
4290,-20.5,0.0
4305,-20.1,0.0
4320,-18.9,0.0
4335,-18.1,0.0
4350,-17.6,0.0
4365,-17.8,0.0
4380,-17.0,0.0
4395,-17.2,0.0
4410,-16.0,0.0
4425,-16.8,0.0
4440,-18.0,0.0
4455,-17.1,0.0
4470,-17.7,0.0
4485,-18.2,0.0
4500,-18.9,0.0
4515,-19.4,0.0
4530,-19.2,0.0
4545,-17.5,0.0
4560,-18.3,0.0
4575,-19.2,0.0
4590,-18.7,0.0
4605,-17.4,0.0
4620,-19.0,0.0
4635,-19.1,0.0
4650,-19.7,0.0
4665,-16.8,0.0
4680,-8.82,14.4
4695,21.4,42.5
4710,77.3,100.0
4725,163.0,188.0
4740,244.0,269.0
4755,404.0,437.0
4770,566.0,606.0
4785,737.0,780.0
4800,934.0,984.0
4815,1125.0,1181.0
4830,1299.0,1358.0
4845,1466.0,1531.0
4860,1645.0,1711.0
4875,1814.0,1888.0
4890,1967.0,2043.0
4905,2114.0,2193.0
4920,2221.0,2312.0
4935,2332.0,2427.0
4950,2435.0,2535.0
4965,2532.0,2636.0
4980,2613.0,2715.0
4995,2690.0,2797.0
5010,3157.0,4020.0
5025,4064.0,3992.0
5040,3423.0,3401.0
5055,1909.0,2011.0
5070,1660.0,1844.0
5085,1243.0,1330.0
5100,2120.0,2227.0
5115,3573.0,3589.0
5130,4166.0,4291.0
5145,3601.0,3839.0
5160,2313.0,2295.0
5175,3212.0,3301.0
5190,2213.0,2401.0
5205,3705.0,3845.0
5220,3891.0,3964.0
5235,2592.0,2734.0
