time,measured,inverted
0,-17.4,0.0
15,-17.1,0.0
30,-17.7,0.0
45,-17.3,0.0
60,-17.2,0.0
75,-16.4,0.0
90,-16.6,0.0
105,-16.8,0.0
120,-17.0,0.0
135,-17.1,0.0
150,-16.8,0.0
165,-16.7,0.0
180,-15.7,0.0
195,-16.2,0.0
210,-15.8,0.0
225,-16.7,0.0
240,-18.3,0.0
255,-15.8,0.0
270,-15.4,0.0
285,-16.8,0.0
300,-16.4,0.0
315,-15.7,0.0
330,-17.0,0.0
345,-17.8,0.0
360,-24.6,0.0
375,-19.2,0.0
390,-25.7,0.0
405,-21.9,0.0
420,-22.8,1.09
435,-4.7,16.7
450,21.2,44.4
465,64.8,93.2
480,152.0,190.0
495,403.0,418.0
510,967.0,965.0
525,1649.0,1688.0
540,1684.0,1790.0
555,1929.0,2185.0
570,2130.0,2419.0
585,1159.0,1360.0
600,2777.0,2962.0
615,3543.0,3799.0
630,3848.0,4046.0
645,3393.0,3677.0
660,2939.0,3109.0
675,3594.0,3643.0
690,4170.0,4349.0
705,3677.0,4102.0
720,4028.0,4152.0
735,3655.0,3954.0
750,3673.0,3890.0
765,3543.0,3440.0
780,3434.0,3519.0
795,2893.0,3147.0
810,2327.0,2537.0
825,2535.0,2519.0
840,1734.0,2050.0
855,1922.0,2002.0
870,1681.0,1746.0
885,1250.0,1241.0
900,1159.0,1211.0
915,857.0,901.0
930,485.0,518.0
945,262.0,286.0
960,91.3,114.0
975,18.0,40.7
990,-15.1,8.32
1005,-21.1,0.0
1020,-21.1,0.0
1035,-22.8,0.0
1050,-22.5,0.0
1065,-22.6,0.0
1080,-22.8,0.0
1095,-20.9,0.0
1110,-20.0,0.0
1125,-21.7,0.0
1140,-21.1,0.0
1155,-18.9,0.0
1170,-18.0,0.0
1185,-19.2,0.0
1200,-18.6,0.0
1215,-19.8,0.0
1230,-25.6,0.0
1245,-22.2,0.0
1260,-21.3,0.0
1275,-23.2,0.0
1290,-23.2,0.0
1305,-23.5,0.0
1320,-22.6,0.0
1335,-20.8,0.0
1350,-19.7,0.0
1365,-21.6,0.0
1380,-19.4,0.0
1395,-22.6,0.0
1410,-21.5,0.0
1425,-20.2,0.0
1440,-19.9,0.0
1455,-19.5,0.0
1470,-20.4,0.0
1485,-20.0,0.0
1500,-18.6,0.0
1515,-18.9,0.0
1530,-17.8,0.0
1545,-18.1,0.0
1560,-17.9,0.0
1575,-18.8,0.0
1590,-18.4,0.0
1605,-18.0,0.0
1620,-19.0,0.0
1635,-17.5,0.0
1650,-18.4,0.0
1665,-18.4,0.0
1680,-21.3,0.0
1695,-18.2,0.0
1710,-18.8,0.0
1725,-19.9,0.0
1740,-20.8,0.0
1755,-17.3,0.0
1770,-18.5,0.0
1785,-17.1,0.0
1800,-29.4,0.0
1815,-26.4,0.0
1830,-24.4,0.0
1845,-25.3,0.988
1860,-18.9,5.72
1875,46.2,74.8
1890,85.4,114.0
1905,123.0,151.0
1920,209.0,239.0
1935,451.0,498.0
1950,401.0,431.0
1965,349.0,379.0
1980,298.0,329.0
1995,365.0,397.0
2010,631.0,677.0
2025,651.0,686.0
2040,926.0,992.0
