time,measured,inverted
0,-11.2,0.0
15,-9.96,0.0
30,-11.2,0.0
45,-9.99,0.0
60,-9.9,0.0
75,-10.1,0.0
90,-9.95,0.0
105,-9.99,0.0
120,-9.96,0.0
135,-9.99,0.0
150,-11.8,0.0
165,-11.8,0.0
180,-12.8,0.0
195,-13.4,0.0
210,-12.5,0.0
225,-11.1,0.0
240,-17.6,0.0
255,-15.5,0.0
270,-12.2,0.0
285,-14.8,0.0
300,-13.0,0.0
315,-12.2,0.0
330,-14.1,0.0
345,-14.0,0.0
360,-13.8,0.0
375,-11.4,0.0
390,-17.0,0.0
405,-14.2,0.0
420,-10.1,0.945
435,3.39,19.9
450,53.5,67.8
465,122.0,136.0
480,182.0,194.0
495,198.0,213.0
510,226.0,240.0
525,348.0,361.0
540,595.0,562.0
555,669.0,678.0
570,727.0,742.0
585,970.0,969.0
600,1193.0,1211.0
615,1001.0,1013.0
630,1008.0,1025.0
645,966.0,977.0
660,1497.0,1528.0
675,1618.0,1634.0
690,1517.0,1534.0
705,1390.0,1401.0
720,1393.0,1396.0
735,1085.0,1093.0
750,1170.0,1173.0
765,1347.0,1358.0
780,2401.0,2384.0
795,1961.0,2026.0
810,1448.0,1460.0
825,1204.0,1217.0
840,1625.0,1646.0
855,2297.0,2515.0
870,2437.0,2485.0
885,2567.0,2585.0
900,2387.0,2344.0
915,2026.0,2034.0
930,1563.0,1574.0
945,1241.0,1251.0
960,947.0,971.0
975,626.0,808.0
1470,-11.8,0.0
1485,-13.2,0.0
1500,-10.9,0.0
1515,-11.9,0.0
1530,-12.4,0.0
1545,-10.3,0.0
1560,-12.7,0.0
1575,-11.6,0.0
1590,-11.2,0.0
1605,-13.2,0.0
1620,-21.0,0.0
1635,-15.6,0.0
1650,-16.1,0.0
1665,-13.8,0.0
1680,-20.3,0.0
1695,-17.6,0.0
1710,-20.0,0.0
1725,-19.2,0.0
1740,-16.4,0.0
1755,-13.5,0.0
1770,-18.2,0.0
1785,-16.4,0.0
1800,-14.3,0.0
1815,-15.5,0.0
1830,-18.5,0.0
1845,-19.7,1.7
1860,24.3,43.5
1875,157.0,172.0
1890,418.0,425.0
1905,720.0,525.0
1965,2347.0,1722.0
1980,2841.0,2865.0
1995,3215.0,3232.0
2010,3503.0,3525.0
2025,3730.0,3755.0
2040,3941.0,3970.0
2055,4124.0,4157.0
2070,4270.0,4311.0
2085,4405.0,4446.0
2100,4505.0,4550.0
2115,4568.0,4615.0
2130,4589.0,4639.0
2145,4597.0,4646.0
2160,4595.0,4644.0
2175,4578.0,4627.0
2190,4543.0,4591.0
2205,4474.0,4521.0
2220,4366.0,4412.0
2235,4258.0,4305.0
2250,4118.0,4162.0
2265,3944.0,3988.0
2280,3773.0,3808.0
2295,3570.0,3604.0
2310,3329.0,3361.0
2325,3012.0,3030.0
2340,2586.0,2618.0
2355,2059.0,2079.0
2370,1585.0,1599.0
2385,1249.0,1263.0
2400,968.0,978.0
2415,654.0,668.0
2430,315.0,484.0
2715,-12.8,0.0
2730,-11.5,0.0
2745,-12.8,0.0
2760,-14.0,0.0
2775,-11.4,0.0
2790,-11.5,0.0
2805,-12.7,0.0
2820,-11.6,0.0
2835,-10.3,0.0
2850,-10.3,0.0
2865,-13.8,0.0
2880,-11.6,0.0
2895,-12.7,0.0
2910,-12.0,0.0
2925,-11.5,0.0
2940,-12.7,0.0
2955,-11.5,0.0
2970,-11.7,0.0
2985,-12.7,0.0
3000,-11.5,0.0
3015,-12.5,0.0
3030,-11.4,0.0
3045,-10.8,0.0
3060,-18.0,0.0
3075,-12.0,0.0
3090,-12.8,0.0
3105,-12.7,0.0
3120,-16.4,0.0
3135,-14.7,0.0
3150,-15.1,0.0
