time,measured,inverted
42390,-12.4,0.0
42405,289.0,321.0
42420,1471.0,1439.0
42435,2579.0,2589.0
42450,2928.0,2945.0
42465,3150.0,3189.0
42480,4427.0,4466.0
42495,4441.0,4483.0
42510,4379.0,4420.0
42525,4323.0,4365.0
42540,4243.0,4286.0
42555,4120.0,4162.0
42570,3983.0,4026.0
42585,3810.0,3849.0
42600,3615.0,3652.0
42615,3387.0,3419.0
42630,3098.0,3127.0
42645,2679.0,2703.0
42660,2212.0,2233.0
42675,1751.0,1767.0
42690,1329.0,1375.0
42705,1138.0,1153.0
42720,905.0,913.0
42735,357.0,368.0
42750,120.0,239.0
42765,22.9,114.0
43380,-14.7,0.0
43395,-11.6,0.0
43410,-12.4,0.0
43425,-12.5,0.0
43440,-18.3,0.0
43455,-14.1,0.0
43470,-15.7,0.0
43485,-13.1,0.0
43500,-13.9,0.0
43515,-14.7,0.0
43530,-16.0,0.0
43545,-11.1,0.0
43560,-16.3,0.0
43575,-13.7,0.0
43590,-13.3,0.0
43605,-13.1,0.0
43620,-6.44,9.75
43635,34.1,49.8
43650,95.0,110.0
43665,167.0,179.0
43680,246.0,258.0
43695,329.0,341.0
43710,399.0,412.0
43725,387.0,399.0
43740,505.0,518.0
43755,715.0,728.0
43770,851.0,864.0
43785,882.0,895.0
43800,800.0,810.0
43815,738.0,749.0
43830,791.0,802.0
43845,836.0,845.0
43860,934.0,944.0
43875,748.0,759.0
43890,842.0,856.0
43905,1491.0,1506.0
43920,1363.0,1369.0
43935,1948.0,1948.0
43950,2167.0,2145.0
43965,1570.0,1587.0
43980,1353.0,1364.0
43995,1385.0,1398.0
44010,1117.0,1127.0
44025,1158.0,1168.0
44040,1220.0,1234.0
44055,1239.0,1254.0
44070,1090.0,1107.0
44085,1525.0,1557.0
44100,914.0,915.0
44115,527.0,539.0
44130,445.0,456.0
44145,381.0,391.0
44160,275.0,286.0
44175,204.0,215.0
44190,87.5,101.0
44205,66.4,81.5
44220,3.48,17.6
44235,-11.2,0.0
44250,-10.3,0.0
44265,-9.86,0.0
44280,-9.83,0.0
44295,-9.8,0.0
44310,-9.83,0.0
44325,-9.81,0.0
44340,-9.87,0.0
44355,-9.96,0.0
44370,-9.98,0.0
44385,-10.0,0.0
44400,-10.1,0.0
44415,-10.0,0.0
44430,-10.1,0.0
44445,-10.1,0.0
44460,-10.1,0.0
44475,-10.1,0.0
44490,-10.0,0.0
44505,-10.1,0.0
44520,-11.4,0.0
44535,-10.1,0.0
44550,-10.6,0.0
44565,-12.2,0.0
44580,-10.2,0.0
44595,-11.2,0.0
44610,-11.3,0.0
44625,-9.99,0.0
