time,measured,inverted
0,-13.7,0.0
15,-13.7,0.0
30,-13.8,0.0
45,-13.7,0.0
60,-13.7,0.0
75,-13.8,0.0
90,-13.8,0.0
105,-13.7,0.0
120,-13.6,0.0
135,-13.7,0.0
150,-13.7,0.0
165,-13.7,0.0
180,-13.7,0.0
195,-13.7,0.0
210,-13.7,0.0
225,-13.7,0.0
240,-13.5,0.0
255,-13.6,0.0
270,-13.7,0.0
285,-13.9,0.0
300,-14.2,0.0
315,-14.2,0.0
330,-0.912,13.8
345,83.9,102.0
360,202.0,220.0
375,351.0,369.0
390,499.0,517.0
405,554.0,571.0
420,654.0,672.0
435,781.0,797.0
450,764.0,782.0
465,811.0,828.0
480,866.0,884.0
495,882.0,900.0
510,819.0,837.0
525,867.0,886.0
540,857.0,874.0
555,760.0,779.0
570,797.0,816.0
585,1102.0,1123.0
600,1570.0,1597.0
615,1680.0,1701.0
630,1300.0,1325.0
645,1260.0,1285.0
660,1995.0,2023.0
675,3627.0,3680.0
690,3910.0,4042.0
705,3686.0,3727.0
720,4574.0,4634.0
735,3197.0,3222.0
750,2854.0,2901.0
765,3602.0,3626.0
780,3919.0,3937.0
795,2923.0,2978.0
810,2960.0,3020.0
825,4076.0,4192.0
840,3678.0,3812.0
855,4122.0,4158.0
870,3969.0,4064.0
885,3896.0,3978.0
900,3870.0,3949.0
915,2604.0,2659.0
930,2704.0,2779.0
945,2753.0,2804.0
960,2544.0,2592.0
975,1926.0,1942.0
990,2890.0,2929.0
1005,2530.0,2568.0
1020,2249.0,2282.0
1035,2007.0,2040.0
1050,1745.0,1775.0
1065,1444.0,1472.0
1080,1172.0,1199.0
1095,876.0,910.0
1110,641.0,667.0
1125,401.0,428.0
1140,242.0,269.0
1155,145.0,172.0
1170,99.4,127.0
1185,42.9,68.6
1200,14.0,36.7
1215,-6.44,14.8
1230,-14.9,0.0
1245,-13.2,0.0
1260,-13.0,0.0
1275,-13.0,0.0
1290,-13.0,0.0
1305,-13.0,0.0
1320,-13.0,0.0
1335,-13.0,0.0
1350,-13.0,0.0
1365,-13.1,0.0
1380,-13.1,0.0
1395,-13.1,0.0
1410,-13.1,0.0
1425,-13.1,0.0
1440,-13.1,0.0
1455,-13.2,0.0
1470,-13.2,0.0
1485,-13.3,0.0
1500,-13.2,0.0
1515,-13.2,0.0
1530,-13.2,0.0
1545,-13.2,0.0
1560,-13.1,0.0
1575,-13.2,0.0
1590,-13.2,0.0
1605,-13.2,0.0
1620,-13.2,0.0
1635,-13.2,0.0
1650,-13.2,0.0
1665,-13.3,0.0
1680,-13.2,0.0
1695,-13.2,0.0
1710,-13.2,0.0
1725,-13.3,0.0
1740,-13.8,0.0
1755,-13.8,0.0
1770,-2.07,14.1
1785,46.9,65.0
1800,72.7,90.7
1815,117.0,135.0
1830,183.0,200.0
1845,389.0,406.0
1860,583.0,601.0
1875,822.0,844.0
1890,1081.0,1102.0
1905,1348.0,1373.0
1920,1620.0,1646.0
1935,1895.0,1925.0
1950,2160.0,2192.0
1965,2419.0,2454.0
1980,2658.0,2694.0
1995,2877.0,2915.0
2010,3090.0,3132.0
2025,3294.0,3338.0
2040,3460.0,3507.0
2055,3624.0,3675.0
2070,3760.0,3815.0
2085,3892.0,3949.0
2100,4004.0,4069.0
2115,3980.0,4028.0
2130,4268.0,4285.0
2145,3997.0,4052.0
2160,3721.0,3784.0
2175,4103.0,4158.0
2190,3893.0,3962.0
2205,3626.0,3703.0
2220,3241.0,3294.0
2235,3020.0,3065.0
2250,2468.0,2550.0
2265,3096.0,3157.0
2280,4233.0,4310.0
2295,3428.0,3489.0
2310,3576.0,3658.0
2325,3493.0,3575.0
2340,3354.0,3395.0
2355,3357.0,3393.0
2370,3174.0,3225.0
2385,2019.0,2088.0
2400,2326.0,2380.0
2415,2336.0,2371.0
2430,2376.0,2440.0
2445,2278.0,2325.0
2460,2237.0,2269.0
2475,1950.0,1982.0
2490,1672.0,1701.0
2505,1054.0,1080.0
