time,measured,inverted
0,-10.1,0.0
15,-10.2,0.0
30,-10.2,0.0
45,-10.2,0.0
60,-10.1,0.0
75,-10.2,0.0
90,-10.2,0.0
105,-10.2,0.0
120,-10.2,0.0
135,-10.2,0.0
150,-10.2,0.0
165,-10.2,0.0
180,-15.3,0.0
195,-12.1,0.0
210,-11.2,0.0
225,-13.0,0.0
240,-20.5,0.0
255,-14.4,0.0
270,-13.9,0.0
285,-15.2,0.0
300,-12.9,0.0
315,-13.7,0.0
330,-13.7,0.0
345,-14.1,0.0
360,-15.5,0.0
375,-8.19,5.34
390,19.9,35.9
405,97.1,112.0
420,212.0,227.0
435,398.0,412.0
450,628.0,641.0
465,869.0,879.0
480,1454.0,1471.0
495,1815.0,1827.0
510,2261.0,2280.0
525,2091.0,2115.0
540,2199.0,2235.0
555,2013.0,2017.0
570,3120.0,3150.0
585,2664.0,2688.0
600,3676.0,3711.0
615,3731.0,3792.0
630,4290.0,4352.0
645,4407.0,4429.0
660,4641.0,4706.0
675,4202.0,4276.0
690,4141.0,4184.0
705,3206.0,3222.0
720,3505.0,3562.0
735,4170.0,4203.0
750,3829.0,3851.0
765,3521.0,3601.0
780,3889.0,3905.0
795,4447.0,4535.0
810,4388.0,4448.0
825,4125.0,4179.0
840,3951.0,4001.0
855,3748.0,3786.0
870,3554.0,3592.0
885,3308.0,3344.0
900,3027.0,3060.0
915,2745.0,2774.0
930,2255.0,2257.0
945,2179.0,2201.0
960,1725.0,1744.0
975,1262.0,1285.0
990,1083.0,1100.0
1005,548.0,560.0
1020,429.0,442.0
1035,195.0,206.0
1050,36.5,51.5
1065,-7.72,5.62
1080,-11.1,0.0
1095,-10.6,0.0
1110,-10.5,0.0
1125,-10.5,0.0
1140,-10.5,0.0
1155,-10.5,0.0
1170,-10.6,0.0
1185,-10.4,0.0
1200,-10.2,0.0
1215,-9.82,0.0
1230,-9.85,0.0
1245,-9.86,0.0
1260,-9.85,0.0
1275,-9.81,0.0
1290,-9.86,0.0
1305,-9.85,0.0
1320,-9.88,0.0
1335,-9.88,0.0
1350,-9.9,0.0
1365,-9.97,0.0
1380,-9.93,0.0
1395,-9.9,0.0
1410,-9.88,0.0
1425,-9.93,0.0
1440,-10.0,0.0
1455,-10.0,0.0
1470,-10.0,0.0
1485,-9.98,0.0
1500,-10.0,0.0
1515,-10.0,0.0
1530,-10.1,0.0
1545,-10.1,0.0
1560,-10.1,0.0
1575,-10.1,0.0
1590,-10.1,0.0
1605,-10.2,0.0
1620,-13.5,0.0
1635,-10.9,0.0
1650,-10.7,0.0
1665,-11.6,0.0
1680,-17.2,0.0
1695,-13.3,0.0
1710,-13.0,0.0
1725,-13.8,0.0
1740,-11.5,0.0
1755,-13.8,0.0
1770,-13.6,0.0
1785,-12.8,0.0
1800,-13.0,0.0
1815,-13.1,0.0
1830,-1.19,13.4
1845,8.29,23.5
1860,48.8,64.4
