time,measured,inverted
0,-19.7,0.0
15,-19.3,0.0
30,-19.7,0.0
45,-19.4,0.0
60,-19.5,0.0
75,-19.0,0.0
90,-19.2,0.0
105,-19.2,0.0
120,-18.6,0.0
135,-18.8,0.0
150,-18.9,0.0
165,-18.7,0.0
180,-17.3,0.0
195,-17.6,0.0
210,-18.8,0.0
225,-18.3,0.0
240,-17.8,0.0
255,-18.0,0.0
270,-18.1,0.0
285,-18.5,0.0
300,-18.4,0.0
315,-18.1,0.0
330,-18.1,0.0
345,-15.0,1.4
360,19.3,38.8
375,72.4,92.2
390,294.0,324.0
405,317.0,328.0
420,454.0,462.0
435,435.0,472.0
450,787.0,828.0
465,514.0,545.0
480,631.0,666.0
495,993.0,1034.0
510,648.0,680.0
525,1008.0,1042.0
540,1443.0,1252.0
555,1053.0,1096.0
570,1092.0,1141.0
585,2268.0,2375.0
600,4426.0,4583.0
615,4472.0,4456.0
630,3498.0,3812.0
645,1656.0,1739.0
660,625.0,668.0
675,761.0,802.0
690,903.0,948.0
705,1336.0,1386.0
720,881.0,925.0
735,418.0,449.0
750,387.0,417.0
765,413.0,444.0
780,538.0,568.0
795,599.0,637.0
810,1126.0,1181.0
825,805.0,836.0
840,655.0,693.0
855,788.0,834.0
870,826.0,864.0
885,597.0,630.0
900,1504.0,1511.0
915,2376.0,2507.0
930,2666.0,2685.0
945,2354.0,2536.0
960,1212.0,1343.0
975,1610.0,1928.0
990,1041.0,1094.0
1005,1008.0,1032.0
1020,1137.0,1174.0
1035,620.0,645.0
1050,466.0,495.0
1065,532.0,564.0
1080,374.0,395.0
1095,331.0,357.0
1110,367.0,388.0
1125,255.0,262.0
1140,143.0,165.0
1155,36.3,55.9
1170,-4.05,14.9
1185,-19.0,0.003
1200,-19.4,0.0
1215,-19.0,0.0
1230,-18.9,0.0
1245,-19.0,0.0
1260,-19.1,0.0
1275,-18.3,0.0
1290,-18.6,0.0
1305,-19.8,0.0
1320,-19.3,0.0
1335,-18.2,0.0
1350,-21.0,0.0
1365,-19.4,0.0
1380,-21.2,0.0
1395,-20.5,0.0
1410,-19.1,0.0
1425,-19.6,0.0
1440,-20.5,0.0
1455,-20.2,0.0
1470,-19.0,0.0
1485,-19.1,0.0
1500,-19.7,0.0
1515,-18.9,0.0
1530,-17.7,0.0
1545,-18.5,0.0
1560,-18.0,0.0
1575,-18.2,0.0
1590,-18.3,0.0
1605,-17.8,0.0
1620,-17.1,0.0
1635,-17.5,0.0
1650,-19.7,0.0
1665,-17.5,0.0
1680,-20.1,0.0
1695,-17.7,0.0
1710,-20.1,0.0
1725,-18.0,0.0
1740,-18.9,0.0
1755,-19.0,0.0
1770,-19.8,0.0
1785,-7.11,12.9
1800,26.6,48.2
1815,72.0,92.5
1830,150.0,174.0
1845,308.0,334.0
1860,409.0,444.0
1875,760.0,797.0
1890,1044.0,1187.0
1905,1472.0,1542.0
1920,1693.0,1722.0
1935,2245.0,2347.0
1950,2564.0,2647.0
1965,2884.0,2973.0
1980,3194.0,3292.0
1995,3472.0,3578.0
2010,3731.0,3848.0
2025,3985.0,4104.0
2040,3551.0,3655.0
2055,3684.0,3764.0
2070,3744.0,3442.0
2085,2432.0,3483.0
2100,3348.0,3232.0
2115,4133.0,4250.0
2130,3132.0,3324.0
2145,3526.0,3636.0
2160,4379.0,3821.0
2175,3214.0,3054.0
