time,measured,inverted
0,-17.9,0.0
15,-17.9,0.0
30,-19.1,0.0
45,-19.0,0.0
60,-19.2,0.0
75,-18.5,0.0
90,-18.1,0.0
105,-18.1,0.0
120,-18.5,0.0
135,-18.5,0.0
150,-18.5,0.0
165,-18.8,0.0
180,-17.8,0.0
195,-18.2,0.0
210,-18.4,0.0
225,-18.8,0.0
240,-18.3,0.0
255,-18.6,0.0
270,-19.6,0.0
285,-19.5,0.0
300,-19.7,0.0
315,-19.5,0.0
330,-19.9,0.0
345,-19.4,0.0
360,-19.6,0.0
375,-20.5,0.0
390,-21.5,0.0
405,-16.6,5.95
420,8.85,30.2
435,53.5,76.9
450,177.0,199.0
465,162.0,184.0
480,78.5,99.9
495,75.7,97.6
510,223.0,246.0
525,198.0,221.0
540,93.9,114.0
555,141.0,165.0
570,199.0,221.0
585,415.0,447.0
600,546.0,584.0
615,783.0,819.0
630,567.0,602.0
645,584.0,617.0
660,1188.0,1247.0
675,759.0,795.0
690,1395.0,1433.0
705,2296.0,2390.0
720,3024.0,3155.0
735,1843.0,1904.0
750,3134.0,3250.0
765,4454.0,4603.0
780,3708.0,3780.0
795,3812.0,3856.0
810,3090.0,3153.0
825,4010.0,3994.0
840,4591.0,4728.0
855,3292.0,3362.0
870,4135.0,3994.0
885,2506.0,2367.0
900,1139.0,1178.0
915,897.0,939.0
930,878.0,919.0
945,665.0,702.0
960,477.0,511.0
975,1423.0,1488.0
990,1753.0,1877.0
1005,1089.0,1025.0
1020,1143.0,1195.0
1035,954.0,992.0
1050,629.0,679.0
1065,346.0,375.0
1080,47.6,72.1
1095,15.8,38.5
1110,-11.3,10.2
1125,-21.2,0.0
1140,-21.9,0.0
1155,-21.8,0.0
1170,-23.0,0.0
1185,-24.7,0.0
1200,-24.7,0.0
1215,-24.8,0.0
1230,-22.9,0.0
1245,-21.2,0.0
1260,-20.9,0.0
1275,-20.6,0.0
1290,-21.3,0.0
1305,-20.4,0.0
1320,-19.3,0.0
