time,measured,inverted
0,-13.4,0.0
15,-13.4,0.0
30,-13.4,0.0
45,-13.4,0.0
60,-13.5,0.0
75,-13.5,0.0
90,-13.5,0.0
105,-13.5,0.0
120,-13.5,0.0
135,-13.5,0.0
150,-13.5,0.0
165,-13.5,0.0
180,-13.5,0.0
195,-13.5,0.0
210,-13.5,0.0
225,-13.5,0.0
240,-13.5,0.0
255,-13.5,0.0
270,-13.4,0.0
285,-13.5,0.0
300,-13.5,0.0
315,-13.4,0.0
330,-13.4,0.0
345,-13.1,0.0
360,-12.8,0.0
375,-13.3,0.0
390,-13.2,0.0
405,-13.2,0.0
420,-13.0,0.0
435,-11.8,1.62
450,11.9,27.0
465,45.2,60.7
480,47.4,62.2
495,47.9,63.0
510,72.3,87.0
525,64.0,78.6
540,115.0,129.0
555,179.0,193.0
570,241.0,254.0
585,262.0,276.0
600,328.0,341.0
615,659.0,674.0
630,1297.0,1312.0
645,2175.0,2206.0
660,2729.0,2797.0
675,1665.0,1683.0
690,3464.0,3550.0
705,3637.0,3620.0
720,3106.0,3225.0
735,4541.0,4599.0
750,4123.0,4171.0
765,3230.0,3275.0
780,3905.0,3957.0
795,4198.0,4285.0
810,3823.0,3861.0
825,4242.0,4327.0
840,4276.0,4309.0
855,1718.0,1735.0
870,1154.0,1181.0
885,1294.0,1321.0
900,936.0,958.0
915,679.0,702.0
930,1550.0,1575.0
945,1573.0,1604.0
960,2525.0,2593.0
975,1444.0,1454.0
990,1464.0,1503.0
1005,2032.0,2055.0
1020,1560.0,1589.0
1035,1635.0,1664.0
1050,1120.0,1147.0
1065,1025.0,1046.0
1080,705.0,723.0
1095,432.0,451.0
1110,221.0,239.0
1125,90.4,110.0
1140,27.6,46.5
1155,0.71,17.1
1170,-13.7,0.066
1185,-13.4,0.0
1200,-13.2,0.0
1215,-13.2,0.0
1230,-13.2,0.0
1245,-13.3,0.0
1260,-13.2,0.0
1275,-13.3,0.0
1290,-13.3,0.0
1305,-13.3,0.0
1320,-13.3,0.0
1335,-13.4,0.0
1350,-13.3,0.0
1365,-13.4,0.0
1380,-13.4,0.0
1395,-13.4,0.0
1410,-13.4,0.0
1425,-13.3,0.0
1440,-13.5,0.0
1455,-13.4,0.0
1470,-13.4,0.0
