Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,890408,-,-,-,40.13,-88.22,-6,223,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2018,1,1,0,0,0,0,-24.700000000000003,0.87,3.9000000000000004,71.38,-20.900000000000002,1012
2018,1,1,0,30,0,0,-24.700000000000003,0.87,3.8000000000000003,73.91,-21.3,1012
2018,1,1,1,0,0,0,-25.400000000000002,0.87,3.8000000000000003,71.13,-21.6,1012
2018,1,1,1,30,0,0,-25.400000000000002,0.87,3.8000000000000003,73.74,-22.0,1013
2018,1,1,2,0,0,0,-26.1,0.87,3.8000000000000003,71.46000000000001,-22.3,1013
2018,1,1,2,30,0,0,-26.1,0.87,3.8000000000000003,74.03,-22.700000000000003,1013
2018,1,1,3,0,0,0,-26.6,0.87,3.8000000000000003,72.04,-23.0,1013
2018,1,1,3,30,0,0,-26.6,0.87,3.9000000000000004,73.99,-23.3,1013
2018,1,1,4,0,0,0,-27.1,0.87,3.9000000000000004,72.65,-23.6,1013
2018,1,1,4,30,0,0,-27.1,0.87,4.0,74.62,-23.900000000000002,1013
2018,1,1,5,0,0,0,-27.5,0.87,4.1000000000000005,73.33,-24.1,1014
2018,1,1,5,30,0,0,-27.5,0.87,4.1000000000000005,74.66,-24.3,1014
2018,1,1,6,0,0,0,-27.900000000000002,0.87,4.1000000000000005,72.95,-24.400000000000002,1014
2018,1,1,6,30,0,0,-27.900000000000002,0.87,4.1000000000000005,73.61,-24.5,1014
2018,1,1,7,0,0,0,-28.1,0.87,4.1000000000000005,72.07000000000001,-24.5,1015
2018,1,1,7,30,14,126,-28.1,0.87,4.4,65.89,-23.5,1015
2018,1,1,8,0,38,251,-27.1,0.87,4.6000000000000005,66.1,-22.5,1015
2018,1,1,8,30,58,367,-27.1,0.87,4.800000000000001,60.54,-21.5,1015
2018,1,1,9,0,70,497,-26.1,0.87,4.9,60.97,-20.5,1015
2018,1,1,9,30,70,725,-26.1,0.87,4.9,56.9,-19.700000000000003,1015
2018,1,1,10,0,87,667,-25.200000000000003,0.87,4.800000000000001,57.78,-18.900000000000002,1015
2018,1,1,10,30,79,808,-25.200000000000003,0.87,4.9,54.43,-18.2,1015
2018,1,1,11,0,80,835,-24.3,0.87,4.9,55.15,-17.400000000000002,1015
2018,1,1,11,30,82,860,-24.3,0.87,4.9,52.82,-16.900000000000002,1014
2018,1,1,12,0,88,797,-23.400000000000002,0.87,4.9,54.47,-16.3,1014
2018,1,1,12,30,98,716,-23.400000000000002,0.87,4.9,53.120000000000005,-16.0,1014
2018,1,1,13,0,89,745,-22.700000000000003,0.87,4.9,54.620000000000005,-15.600000000000001,1014
2018,1,1,13,30,86,713,-22.700000000000003,0.87,4.800000000000001,54.17,-15.5,1014
2018,1,1,14,0,69,801,-22.200000000000003,0.87,4.6000000000000005,56.47,-15.5,1014
2018,1,1,14,30,53,862,-22.200000000000003,0.87,4.3,57.9,-15.8,1014
2018,1,1,15,0,65,539,-22.1,0.87,4.1000000000000005,60.06,-16.1,1014
2018,1,1,15,30,48,467,-22.1,0.87,3.6,65.86,-17.2,1014
2018,1,1,16,0,31,355,-23.3,0.87,3.1,64.96000000000001,-18.3,1014
2018,1,1,16,30,9,90,-23.3,0.87,2.9000000000000004,69.55,-19.1,1014
2018,1,1,17,0,0,0,-23.8,0.87,2.6,71.37,-19.900000000000002,1014
2018,1,1,17,30,0,0,-23.8,0.87,2.6,71.37,-19.900000000000002,1014
2018,1,1,18,0,0,0,-23.8,0.87,2.6,74.89,-20.5,1015
2018,1,1,18,30,0,0,-23.8,0.87,2.5,76.87,-20.8,1015
2018,1,1,19,0,0,0,-23.900000000000002,0.87,2.5,78.27,-21.1,1015
2018,1,1,19,30,0,0,-23.900000000000002,0.87,2.5,79.57000000000001,-21.3,1014
2018,1,1,20,0,0,0,-24.0,0.87,2.5,80.58,-21.6,1014
