UOFI.CALCSERV.TOTAL UIUC ELECTRIC LOAD - Snapshot (001:00:00),,
Date and Time,Value (KW),eDNA Status as String
7/1/2018 0:00,59694,OK
7/1/2018 1:00,57231,OK
7/1/2018 2:00,56295,OK
7/1/2018 3:00,55830,OK
7/1/2018 4:00,54994,OK
7/1/2018 5:00,55256,OK
7/1/2018 6:00,55256,OK
7/1/2018 7:00,56981,OK
7/1/2018 8:00,56764,OK
7/1/2018 9:00,57158,OK
7/1/2018 10:00,56564,OK
7/1/2018 11:00,58293,OK
7/1/2018 12:00,56243,OK
7/1/2018 13:00,54134,OK
7/1/2018 14:00,54940,OK
7/1/2018 15:00,54854,OK
7/1/2018 16:00,55122,OK
7/1/2018 17:00,55377,OK
7/1/2018 18:00,56775,OK
7/1/2018 19:00,55252,OK
7/1/2018 20:00,54797,OK
7/1/2018 21:00,54977,OK
7/1/2018 22:00,56749,OK
7/1/2018 23:00,56358,OK
7/2/2018 0:00,56890,OK
7/2/2018 1:00,55676.001,OK
7/2/2018 2:00,55733,OK
7/2/2018 3:00,54807,OK
7/2/2018 4:00,54968,OK
7/2/2018 5:00,55350,OK
7/2/2018 6:00,56305,OK
7/2/2018 7:00,59726,OK
7/2/2018 8:00,60818,OK
7/2/2018 9:00,61863,OK
7/2/2018 10:00,59161,OK
7/2/2018 11:00,59351,OK
7/2/2018 12:00,59022,OK
7/2/2018 13:00,62194,OK
7/2/2018 14:00,62074,OK
7/2/2018 15:00,60544,OK
7/2/2018 16:00,60008,OK
7/2/2018 17:00,59222,OK
7/2/2018 18:00,57539,OK
7/2/2018 19:00,56351,OK
7/2/2018 20:00,55629,OK
7/2/2018 21:00,55482,OK
7/2/2018 22:00,56428,OK
7/2/2018 23:00,56814,OK
7/3/2018 0:00,55326,OK
7/3/2018 1:00,54157,OK
7/3/2018 2:00,53252,OK
7/3/2018 3:00,52264,OK
7/3/2018 4:00,52253,OK
7/3/2018 5:00,53622,OK
7/3/2018 6:00,52349,OK
7/3/2018 7:00,59159,OK
7/3/2018 8:00,61494.001,OK
7/3/2018 9:00,64562,OK
7/3/2018 10:00,65004.999,OK
7/3/2018 11:00,64032,OK
7/3/2018 12:00,62505,OK
7/3/2018 13:00,65397,OK
7/3/2018 14:00,63595,OK
7/3/2018 15:00,63871,OK
7/3/2018 16:00,65389,OK
7/3/2018 17:00,65391,OK
7/3/2018 18:00,62822,OK
7/3/2018 19:00,61285,OK
7/3/2018 20:00,58621,OK
7/3/2018 21:00,62629,OK
7/3/2018 22:00,59284,OK
7/3/2018 23:00,59396.001,OK
7/4/2018 0:00,57788,OK
7/4/2018 1:00,56818,OK
7/4/2018 2:00,56395,OK
7/4/2018 3:00,55581,OK
7/4/2018 4:00,55224,OK
7/4/2018 5:00,55698,OK
7/4/2018 6:00,56645,OK
7/4/2018 7:00,59189,OK
7/4/2018 8:00,59384,OK
7/4/2018 9:00,58170,OK
7/4/2018 10:00,58411,OK
7/4/2018 11:00,54912,OK
7/4/2018 12:00,56724,OK
7/4/2018 13:00,56726,OK
7/4/2018 14:00,56540,OK
7/4/2018 15:00,56553,OK
7/4/2018 16:00,58324,OK
7/4/2018 17:00,58354,OK
7/4/2018 18:00,59091,OK
7/4/2018 19:00,58949,OK
7/4/2018 20:00,57872,OK
7/4/2018 21:00,58968,OK
7/4/2018 22:00,60314,OK
7/4/2018 23:00,61285,OK
7/5/2018 0:00,60379,OK
7/5/2018 1:00,58848,OK
7/5/2018 2:00,58339,OK
7/5/2018 3:00,57987,OK
7/5/2018 4:00,57852,OK
7/5/2018 5:00,58129,OK
7/5/2018 6:00,60206,OK
7/5/2018 7:00,63197,OK
7/5/2018 8:00,65193,OK
7/5/2018 9:00,65708,OK
7/5/2018 10:00,65273,OK
7/5/2018 11:00,64493,OK
7/5/2018 12:00,65371,OK
7/5/2018 13:00,63783,OK
7/5/2018 14:00,65525,OK
7/5/2018 15:00,62467,OK
7/5/2018 16:00,62377,OK
7/5/2018 17:00,60488,OK
7/5/2018 18:00,57715,OK
7/5/2018 19:00,56045,OK
7/5/2018 20:00,54518,OK
