time,temp,prec
0,22,0
1,21,0
2,23,0
3,19.6666666667,0
4,20,0
5,19,0
6,19,0
7,22,0
8,28,0
9,32,0
10,35,0
11,38,0
12,40,0
13,41,0
14,41,0
15,39,0
16,34,0
17,35,0
18,34,0
19,34,0
20,33,0
21,33,0
22,33,0
23,34.25,0
24,35,0
25,34,0
26,35,0
27,35,0
28,35,0
29,35.3333333333,0
30,35,0
31,35.3333333333,0.00666666666667
32,36,0.0025
33,38,0
34,40.6666666667,0
35,44,0
36,46,0
37,46,0.0075
38,48,0.03
39,47.6666666667,0.0216666666667
40,46.5,0.0275
41,47.25,0.0175
42,46,0.005
43,45,0
44,44,0
45,44.5,0
46,44.5,0
47,45.25,0
48,46,0
49,46,0.00666666666667
50,45,0.0025
51,44,0
52,44,0
53,44,0
54,43,0
55,42.6666666667,0
56,42.6666666667,0
57,43,0
58,41.3333333333,0.02
59,40.5,0.045
60,40,0.015
61,39,0.0383333333333
62,39,0.01
63,37,0.02
64,37,0.01
65,35,0
66,33,0
67,31,0
68,29.5,0
69,27.5,0
70,25.6666666667,0
71,22.5,0
72,21,0
73,20,0
74,18,0
75,17,0
76,16,0
77,15,0
78,15,0
79,15,0
80,16,0
81,17,0
82,19,0
83,21,0
84,21,0
85,21,0
86,21,0
87,20,0
88,18,0
89,18,0
90,18,0
91,18,0
92,18,0
93,18,0
94,18,0
95,16.75,0.00136363636364
96,16,0.00363636363636
97,15.3333333333,0.00636363636364
98,14.6666666667,0.00909090909091
99,14,0.00911764705882
100,13,0.00794117647059
101,11,0.00735294117647
102,11,0.00705882352941
103,10.75,0.00632352941177
104,10.75,0.00514705882353
105,11.8,0.00382352941177
106,12,0.00220588235294
107,12,0.000882352941176
108,13,0.000294117647059
109,13,0
110,12.6666666667,0
111,13,0
112,13,0
113,8,0
114,13,0
115,11,0
116,13,0
117,13,0
118,10.5,0
119,8.75,0
120,5,0
121,1,0
122,1,0
123,0,0
124,-2,0
125,-2,0
126,-4,0
127,-4,0
128,2,0
129,5,0
130,6,0
131,7.5,0
132,9,0
133,10,0
134,9.33333333333,0
135,9,0
136,6,0
137,4,0
138,4,0
139,1,0
140,1,0
141,1,0
142,-1,0
143,-2,0
144,-2,0
145,-2,0
146,-3,0
147,-3,0
148,-3,0
149,-4,0
150,-3,0
151,1,0
152,4,0
153,8,0
154,12,0
155,15,0
